smc_1,smc_2,smc_3,smc_4,smc_5,smc_6,smc_7,smc_8,smc_9,smc_10,smc_11,txt_1
5,5,5,5,5,5,5,5,5,5,5,Lectures were somewhat unstructured. Assignments and labs involved exercises that were obviously artificial and/or inappropriate to solve using the expected techniques.
1,1,0,1,0,1,1,1,1,1,0,Did examples in eclipse to show what we had to do and to run the programs
2,2,3,0,0,2,5,0,3,7,2,Very funny and effective at generating interest in the class and related subjects.
4,10,4,3,6,4,9,9,12,7,19,He kept the class extremely engaged and interesting to come to.  It was extremely clear what was expected and also was able to clarify any question asked or at least find the answer.  The class felt a little behind the other class.  It would be hard to keep up with labs as we were taught the material an hour before (having the lab right after lecture).  That could just be due to the course structure.
23,14,16,25,14,23,17,24,24,27,19,"Dave did a good job of presenting the necessary materials and was very clear as to what was expected of the student and was approachable and helpful. He was genuinely concerned with the students progress. A problem with the course however was that it went through materials really quite quickly and I think that some of the content could have been cut out, things that weren't involved in the labs or the assignments for example. A number of topics discussed in the class were only looked at for a single class. Also, I think that it would be even more helpful to see the instructor doing more coding in front of the class, or looking at actual code and seeing the program actually run. There were a lot of examples in class that showed incorrect code, why? Don't do this, it is much more useful to see correct code and not be confused by incorrect code."
20,23,27,21,30,20,18,16,10,8,10,"The instructor was a good lecturer and kept a good pace through the material in each lecture with time for questions and examples.  Often, he would demonstrate with code or create code on the fly which I found quite effective.  He also would give examples beyond the scope of the class to encourage further thought on the topics; this helped make the material more relevant and interesting.  I look forward to taking courses from him in the future."
,,,,,,,,,,,"For his first time teaching, Dr Tompkins did a good job."
,,,,,,,,,,,"I think that the method he (you?) adopted to with regards to promoting questions worked rather well, even if not everyone took advantage of it. The atmosphere in the classroom was very easy going, and took the edge out of it being a university course. Even though the course wasn't very challenging to me, the easy going atmosphere made the course enjoyable to be there at all the lectures.[nl]I think the lecture slides could have been simplified a bit, or updated with clearer examples in some cases, but, as they were elaborated on in class, they didn't detract at all from it. All in all, I rather enjoyed this course, even if I'm technically a first year student."
,,,,,,,,,,,"It is very clear that Dave cares about his teaching and his students. He tries to make improvements if he can, by changing the ways he does some things. He tries to be aware of the needs of the students. [nl]I however think that the course itself is the problem. I dont feel that I learned from Dave as much as I was hoping... but i don't think it is really his fault. If he is adhering to the course outline... then i think the course is the problem. I have taken cpsc 111 before this and i did very well in it (97%). That is the ONLY programming experience I have ever had. I find i sit in lectures for this course and feel that there is too much info too fast and there is no way i can grasp it. I can pay attention and understand the main idea... but i always think...""I hope they dont expect me to understand how to program with these constructs"". We will be showed a huuuge amount of methods and new classes/interfaces in a single course... and I cannot take all of that in. I preferred 111 much more. Maybe 211 would be easier for people who have more experience than just a single cpsc course. It is too early for me to have a slough of info thrown at me. It doesnt help me. I still need instruction. With 97% in cpsc111 I clearly understood and learned what I was supposed to learn. I felt like I had a good handle on the 111 material. I feel that 211 is not an extension of 111... its just a whole lot of information getting thrown at me that doesnt really instruct me. [nl]I feel that is mostly the fault of the course and not Dave.[nl]I think he will become a better instructor with time as well. He is trying his best and he will improve the more he does it."
,,,,,,,,,,,"Good teacher, very student-focused"
