mc_1,mc_2,mc_3,mc_4,mc_5,mc_6,mc_7,mc_8,mc_9,mc_10,mc_11,mc_12,mc_13,mc_14,mc_15,mc_16,txt_1,txt_2,txt_3,txt_4,txt_5,txt_6
1,4,1,1,2,6,2,2,1,1,2,5,5,3,2,,Very funny.  Good examples.,,,,,
1,3,1,1,1,3,1,1,1,1,1,2,3,3,2,,Entertaining and taught well.,,Interesting and relevant to other courses.  Improves abstract thinking.,Solutions to lab questions not provided.,,
2,2,3,2,2,3,1,2,1,2,2,4,2,2,2,,Pretty entertaining.  Very smart.  Likes what he does.,Listen to students' questions better rather than cutting them off.  Be a little more serious at times.,Learned a lot.  Pretty fun.  Interesting.,Sometimes boring.  Heavy workload.,,
1,3,1,1,1,1,1,1,1,1,1,4,4,4,1,,Explanations are excellent.  Makes the entire class attentive to lectures.,,,,,
2,3,2,2,2,1,2,2,1,2,2,3,2,2,2,,"He is awesome.  Besides having rich knowledge, he also has a good sense of humour.",,He can explain students' questions clearly.,,Positively.  He respects each individual and able to help all of them outside of class.,Class size is good.
1,3,1,1,2,1,2,1,1,1,1,1,3,3,2,,Teaching.,,Many.,Few to none.,,
1,3,1,2,2,6,2,2,3,5,5,5,6,6,1,,,,,,,
1,3,1,1,1,1,1,1,3,1,3,4,2,2,3,,Dave is hilarious.  Class is interesting.,Sometimes goes too fast.,Scheme programming is fun!,Too much homework.,Not bad.,
3,4,1,2,1,1,1,2,1,1,3,3,3,4,2,,The prof did a good job with simplifying the abstract idea of scheme and explaining it an understandable way.  His use of extra examples in scheme is also very helpful.,He could go more slowly through the slides and explain it more slowly.,Made the course very funny with his attempts of being funny.,Might have oversimplified some concepts letting students to think it's easy.,"Fun atmosphere, very easy to talk to prof.",Has a good control of the class.
1,3,2,1,1,6,1,1,1,1,1,4,3,3,3,,I loved his teaching methods.  I am hoping to get him again next term.,Very good.,Learned a lot.,Weekly assignments sometimes too hard.,Good.,I enjoyed the class material and atmosphere.
1,4,2,2,1,6,2,2,3,1,2,3,4,3,2,,The instructor is humourous and presents the material in an interesting manner.,Too much explanation? Faster speed can be recommended.,,,,
2,3,1,2,2,1,,2,5,3,2,2,3,3,1,,,,,,,
2,2,2,2,2,3,3,2,5,3,2,3,3,3,2,,Great.  Good pace.,,,,,
2,2,2,2,1,3,2,2,1,2,3,3,3,3,3,,He's alright.,,,Course notes!  They're terrible and do not explain functions clearly.,Great.,Great.  If I had 1.5 hours to live I would spend it in this class because it feels like an eternity.
1,3,1,2,1,2,2,1,1,1,2,4,3,2,2,,,,,,,
2,2,1,1,1,1,2,1,1,2,1,5,1,1,5,,Very good at making the class interesting.  Good with analogies and connecting the course to real life examples.  Kept me awake.  Awesome at explanations.,,,,,
1,3,1,1,1,6,2,1,1,2,1,5,2,1,3,,,,,,,
2,3,2,2,2,6,2,2,3,2,2,5,3,3,2,,,,,,,
