mc_1,mc_2,mc_3,mc_4,mc_5,mc_6,mc_7,mc_8,mc_9,mc_10,mc_11,mc_12,mc_13,mc_14,mc_15,mc_16,txt_1,txt_2,txt_3,txt_4,txt_5,txt_6
1,2,1,1,1,6,2,1,1,2,2,3,3,3,3,,"He teaches the course well, as he gives a lot of examples.",Don't know.,Learning how to code in scheme and liked different things you could do with scheme.,"Lengthy assignments, and assignment 6 was hard.","Positively, with jokes.",
2,3,2,2,2,6,2,2,1,2,4,4,3,2,2,,,,,,,
1,3,1,2,1,2,2,1,1,2,4,4,3,3,2,,,,,,,
2,3,2,2,2,2,2,2,2,2,5,4,3,3,2,,,,,,,
2,3,2,2,2,6,2,2,1,1,1,5,3,3,2,,Light-hearted joker.,,Very thorough.,Scheme,,
2,3,1,1,2,6,1,2,1,1,1,5,3,3,2,,,,,,,
2,3,2,2,2,3,1,2,1,2,2,2,3,3,2,,"The instructor effectively engaged the class in learning by teaching in a professional and appropriate manner, while also maintaining a calm, comfortable class atmosphere.",,,,,
2,3,2,2,2,3,2,2,1,2,5,2,2,2,3,,"Funny, made the class more fun to come.",Explain things slower and not skip around the slides.,It have lots of useful material.,A bit too much material.,,
1,3,1,1,1,1,1,1,1,1,2,4,3,3,2,,,,,,,
2,3,3,3,2,3,2,2,2,2,2,2,2,2,2,,"Good explanation, confident of what he is doing.",He goes off topic somewhat too much.,,,,
2,3,1,2,2,6,,2,2,2,1,2,3,2,4,,He tells jokes and personal stories to keep the class atmosphere high and make the students more engaged in learning.,Stay on topic a little better.  Don't go off track too much.,,,,
2,2,1,1,1,1,1,1,2,1,2,2,3,2,4,,Materials were clearly and well explained.,More notes on blackboard could be a big help to me.  Especially those tracing and stepping problems.,,,Positively.,
1,3,1,2,1,6,1,1,1,1,2,5,3,2,4,,,,We are forced to write almost all of the built-in list functions.,We didn't play much about strings.,,
1,3,1,1,1,6,2,1,2,2,2,4,5,3,3,,Kept the course interesting - humour helped.  Interesting tangents/links to real-world stuff.,,I'm a pro at recursion now.  Can see the benefits of the design recipe.,Can't wait to learn something I can put on my resume (transfer student who had to find a job for winter co-op).,,
2,3,1,1,1,1,1,1,1,1,4,2,3,3,2,,"Very enthusiastic and breaks down code explanation well when it's a lot to process.  Good cheesy humour, engages class well.",Keep being awesome yo.,Learning new concepts / applications of those concepts in the real world.,,It was good.,
2,2,2,1,3,6,1,2,1,2,4,2,2,3,3,,Funny,Doing a bit more review before midterm/final and making sure all aspects are covered in class.,Real world applications were great.,,,
1,3,1,1,1,6,1,1,1,1,2,5,3,2,4,,It has all been done well except for that one assignment (A6 I think).  I actually like recursion now.  Explanations were very helpful - mutual recursion.  The somewhat silly ways to remember concepts were good.,,,,,
1,3,1,1,1,6,1,1,1,2,2,5,3,3,2,,Awesome teacher.  Much funnier than he thinks he is.,Spend more time on examples.,Really interesting and fun.,A bit complicated.,Good attitudes.,
2,3,3,2,2,6,2,2,1,1,5,5,3,3,2,,,,,,,
2,3,2,2,1,6,2,2,1,1,2,5,3,2,2,,,,,,,
2,3,1,1,1,1,2,2,1,1,2,2,2,2,3,,"Good explanations, teaching methods, fun class :)",Go a little bit slower.  Felt a little too fast.,Learned a lot about cs and feel more comfortable in it as it was my first year taking any cs course.,Assignments were a bit too difficult.,Good class atmosphere.,Good class size.
2,3,2,1,1,3,1,2,1,1,4,3,3,3,4,,He is really good at using interesting examples to explain complicated topics.,,This whole course is very helpful in developing logic thinking.,Sometimes the topic can become too confusing and abstract.,,
2,3,2,1,2,6,2,1,1,2,4,5,3,2,3,,he is pretty funny and keeps class engaged.,Maybe he test out a few things before the lecture.,"it got me thinking in a more formal way of coding, instead of randomly written code that works.",Too much design recipe.,"It was a fun atmosphere, where there was a lot to learn.",
2,3,2,2,3,2,2,2,1,2,2,2,3,3,3,6,Making the course interesting.  Introduce new stuff.,Make the lecture more clean (sometimes the instructor forgets something and comes back to it later).,"Material is close to reality, very helpful.",The course is kind of quick.,Positively.,
2,3,2,1,2,2,2,2,1,1,2,2,3,2,2,,,,,,,
2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,,,,,,,
1,3,1,2,1,6,2,1,1,2,2,4,3,3,3,,,Assignments by this instructor were more difficult than by others.,,,,
1,3,1,2,2,6,2,1,2,1,1,5,3,2,3,,,,Recursion and BST.,"Only functional, could relate to reality and industry closer.",,
1,3,1,1,1,3,2,1,1,2,2,2,1,2,3,,"Engaging, very funny, makes the lectures so much fun.  Knows the content well and very helpful at making the students understand the concepts.",,BST and recursion.,Relate more to the real world.,No negative atmosphere.,Very good prof.  Let him keep his job :) !
1,3,2,1,1,6,1,1,1,1,2,3,3,2,3,,He does an amazing job explaining concepts.  He makes great analogies and made the course enjoyable.,,The assignments helped reinforce the material.,I found the clicker questions too often seem as if to trick people.  Assignments were sometimes vague.,,
2,3,2,1,2,2,1,2,1,1,1,2,3,3,3,,Tried to make class interesting.  Provided ample examples.,,Many different topics.  Good teaching sequence.  Doesn't go too fast.,,Positive - everyone willing to learn.,
1,3,2,1,1,1,1,1,1,1,2,4,3,2,3,,Very helpful explanations.  Organized lectures.,More entertaining anecdotes.,Topics covered.,Long assignments.,,
1,3,1,1,1,1,2,1,1,1,1,3,2,3,2,,"Good sense of humour, detailed explanation of concepts.",More interaction with students during lectures and slower pace at important concepts.,Lots of information taught.,Sometimes assignments take too long to complete.,Good class atmosphere.,
2,2,1,1,1,1,2,2,1,2,2,3,3,2,4,,He does many examples that he made himself in scheme which help in understanding the concepts.,He should make his CS assignments easier since they took a lot more time to do than other assignments.,"Started slow, so people with no programming knowledge would not be at a disadvantage.","halfway through the course, all assignments and lectures got much harder to understand.",Dave's jokes kept the class atmosphere light and enjoyable.,
1,3,1,1,1,1,1,1,1,1,1,4,1,2,3,,Dave always makes sure his students understand everything before continuing on with the material.  He is also a good person to talk to about problems outside of the course.,Go a little slower.,A lot of concepts were learned that can be practically applied (like trees).,It is too challenging for a person not familiar with functional programming.,"The class had a very very positive atmosphere, very group like.",Everything fine.
2,3,3,2,2,6,2,2,1,1,2,4,3,3,3,,,Sometimes pacing of presentation seems rushed - don't fully understand some things before we move on.,,,,
1,3,1,1,1,6,1,1,1,1,1,3,3,3,2,,"Switches between using the slides and examples on the board or Dr. Racket.  Lectures are easy to understand, even if the content is somewhat complicated.",Nothing significant!,The course has a good balance of applied examples and abstract concepts.,Nothing too significant.,It was a very positive environment.,
2,3,1,2,1,1,2,1,1,2,1,3,2,1,4,,The material was well explained & we were kept engaged and entertained whilst in class.  Very approachable & helpful.,,Good introduction to CS.,Lots and lots of work - assignments are difficult to do well on even with a big time commitment.,Positively,
2,3,2,2,2,1,2,2,1,1,2,3,2,2,4,,Kept the course interesting with appropriately timed (albeit bad) jokes and pleasant sarcasm.  Office hours were helpful.,Organization during demonstrations.,Built a good CS foundation.,Assignments took too long.,Neutral.,
2,3,2,1,1,6,1,1,1,2,1,5,3,3,3,,"He has made the classes interesting by doing funny voices (playing the part of mutual recursion functions), sharing personal stories.",He was a good instructor.,Teaching Scheme! I love it.  It is my favourite programming language.,It was pretty good.,It was generally pretty good.,"The class is pretty spread out, but other than that pretty good."
2,3,1,2,1,1,1,1,1,1,1,5,3,3,2,,,,,,,
