smc_1,smc_2,smc_3,smc_4,smc_5,smc_6,smc_7,smc_8,smc_9,smc_10,smc_11,txt_1
5,5,5,5,5,5,5,5,5,5,5,"Okay so I will say it how it is. Dave is a nice and funny guy and he brings his humor to the class. But that is all he was effective at. In terms of teaching, lectures notes and material to aid in preparing for exams dave was grossly inadequate. Dave said it was his first time teaching. Well it really shows as he was one of the worst profs I have had at UBC."
3,2,0,2,3,2,1,0,2,1,1,"Professor spends too much time trying to please students and put students into consideration. Although this is a great trait and probably one found most in professors new to teaching, it is too time consuming and diminishes effective learning.[nl]Too much time was spent in the beginning of the course asking students what they wanted and how they felt about x and y being this way or that in the course. Professors can and should come up with the answers to these questions themselves.[nl]The pacing and focuses in the course were not parallel with the difficulty and size of the content, nor the first midterm. For example, too much time was spent on teaching something worth very little, while we were expected to read the textbook for material that was more important. Time spent in the class should be directly proportional to examination content.[nl]Finally, notes were a problem at times in the class. Slides were posted, but usually the majority of notes were written on the whiteboard and inaccessible without notes. Would be nice if the slides contained more of the class content.[nl]Despite flaws, teacher clearly cares for learning and wants to improve. A very effective teacher when teaching. Will definitely improve with experience and planning."
5,9,4,7,0,5,2,1,0,2,6,"Fun and engaging lectures which made him easily approachable. Sometimes will vary away from course content but everything he said was to try to interest students in content. Not too experienced in teaching this course and seemed uncertain about some content at times. If he fixed these issues, I believe he could be a very effective instructor. But overall he was helpful and made the course more interesting than it probably would have otherwise."
9,7,6,12,4,9,7,6,10,11,14,"The summer session definitely made everything faster paced. I would rather blame the format of the summer session rather than you personally Dave, for the difficulty of trying absorb all the material. There definitely wasn't enough time for certain things to 'settle in'. [nl]In terms of just content, I really enjoyed this course. I firmly believe that this course has taught me to be a better mathmagician. A lot of times when problems simply seemed to hard I would just say ""ahh screw it"" and move on.  I actively seekout harder questions to do and a high understanding of the proofs given to us. I'm really happy that I learned a lot just by the proofs and what it taught me about certain sets.[nl]In terms of you Dave, you were an excellent teacher. I don't believe it would be fair to give you the blame on how things went. Summer went by fast, and there was certainly a lot to teach us. I really appreciated the last lecture and your tangents that seemed to bring the content together. I have such a higher understanding now software interacts with hardware, and how things, like hash functions, data compression, work. I'd like to say you did a good job because you tied a lot this content together. Would I like to drop out of my program to pursue Electrical Engineering? No, but now I at least know how computers work.[nl]The candy was much appreciated. [nl]The midterms, yeah they were hard. The second one was really decent. [nl]Thx for bein' an OG. Dun forget to rep the west coast when u on tha east. U a straight up balla. West coast \/\/ 4eva."
15,17,12,17,19,17,21,21,20,21,16,can tell that he cares for student learning
8,5,18,2,14,6,9,12,8,5,3,"It is clear that you care about your students and their grades, but you need to take a little more initiative when students bring up issues with the classroom setting. The use of whiteboards was very effective, though those notes did not end up transferred to posted lecture slides; for the times when students missed a class or even just missed a step in the work, it would have been nice to go back and take a look at the work posted on the whiteboards."
,,,,,,,,,,,"Dave was very keen on the learning goals, and made it very apparent to us the structure and pace of the course. This was very helpful in organizing the course material, which allowed us to know exactly what we are supposed to learn."
,,,,,,,,,,,"Although I will admit there were some areas where Dave could use improvements, he excelled in every other one. In lectures Dave was engaging and informative as well as showing a genuine interest in the subject matter. He also had no problem slowing down to explain the more difficult concepts in detail which I really appreciated. [nl]My biggest criticism is that whiteboard notes tended to be extremely disorganized and hard to follow. A little more structure would have been nice, but it's not a big deal. Both midterms were of above average difficulty, but I found the questions themselves reasonable. I hope for the future Dave's exams are either longer or have fewer questions, as my biggest issue was with the time allotted. [nl]Overall I found Dave to be a great and effective instructor who gave me an even greater interest in Computer Science and exposed me to areas of it I never knew existed."
,,,,,,,,,,,"Dave was a funny and entertaining teacher, who usually got his points across when it came to the subject material. Initially the exam expectations were a bit too high relative to the assignment material, which got better over the term."
,,,,,,,,,,,"Dave was a good teacher when he took the time to properly prepare for the lectures.   Some lectures were excellent while others were very difficult to sit through.  The first midterm didn't represent the material learned in class, tutorials or labs while the second was pretty fair.     Overall,  ok.  Could be a great professor with practice and if he put more care into his preperations."
