mc_1,mc_2,mc_3,mc_4,mc_5,mc_6,mc_7,mc_8,mc_9,mc_10,mc_11,mc_12,mc_13,mc_14,mc_15,mc_16,txt_1,txt_2,txt_3,txt_4,txt_5,txt_6
2,3,1,2,2,3,2,2,2,2,2,3,3,3,3,,The instructor's presentation is funny and not that boring.  He always point out some important detail and explain it.,Good enough.,,,,
1,4,1,2,1,6,,1,2,5,5,5,4,2,2,,Excellent oral explanation of content.,"He was very engaging in lectures.  Made the course more fun, less boring.",,"Boring by design, scheme is a stupid language for learning or general use.",,
1,3,1,1,1,1,2,1,1,1,2,3,3,3,2,,"Very clear in lectures, used helpful analogies in lectures, helpful in office hours and very respectful of students.",,Course exams are easy if assignments are done.  Most of material understandable if studied.,,Affected positively due to small class.,Quiet class.
1,3,1,1,1,1,1,1,2,1,1,1,3,3,2,6,Explanations are vivid and useful.  More examples are needed.,,,,,
1,3,1,1,1,1,1,1,3,1,2,3,3,3,3,,Excellent jokes.,"Details probably.  Actually, everything is great.",,,,
2,3,1,1,1,1,2,1,1,1,2,5,2,3,2,,Enthusiastic about the course.  Made class enjoyable.  Explained examples very well.,"Spend more time explaining new concepts, but overall no other comments.","Interesting to see how programs actually worked, how much effort goes into them.",Too much new information for a first time CS student.,"Positive, always quiet.",
1,3,1,1,1,1,2,1,1,1,1,3,,3,3,6,Explaining and to help everyone understand the material.,Everything he does is excellent.  Stay the way you are!,Very interesting.,,,
1,2,1,1,1,2,2,1,2,1,2,2,3,3,3,6,,,,,,
1,3,1,1,1,6,2,1,3,2,5,3,3,3,3,,,,,,,
2,2,2,2,2,6,2,2,1,2,2,3,2,3,1,,,,,,,
1,1,1,1,1,1,2,1,1,2,1,2,3,3,3,,Dave Tompkins was an awesome prof.  Really good explanations & examples given in class.,,,,,
1,3,1,1,1,1,2,1,1,2,2,3,2,3,2,,Great presentation skills.  Keeps the class interested.  Lively and energetic.  Cares about the students' concerns.  Helpful during office hours.,Nothing.,It was cool learning about how programs work.,Not extremely interesting.,"Dave kept it very positive, funny lively and enthusiastic.",
1,3,1,1,1,1,1,1,1,2,2,4,3,3,4,,Explanation of course materials was well organized and understandable.  Good use of visuals & colourful markers.,,,,Focused students and Dave Tompkins has a good balance between work and fun in class.,
2,3,2,2,2,4,2,2,5,2,2,5,3,3,5,6,Explain the abstract content into concrete content.,,,,,
1,3,1,1,1,1,2,1,1,1,1,3,3,2,3,,Great visual presentations and very interactive class presentation.  Answers questions well.,No comments :),Great class presentations and easy to learn.,"Boring content.  However, instructor kept it interesting.",Positive.  There were never any problems.,Class size is small since old prof scared everyone away and no one comes anymore!  Dave has brought some back though :)
