mc_1,mc_2,mc_3,mc_4,mc_5,mc_6,mc_7,mc_8,mc_9,mc_10,mc_11,mc_12,mc_13,mc_14,mc_15,mc_16,txt_1,txt_2,txt_3,txt_4,txt_5,txt_6
2,3,2,2,1,1,1,1,1,1,1,4,3,3,3,,,,,,,
2,3,2,1,1,2,2,1,1,5,4,5,4,1,2,,Interesting examples and appropriate voice make the course more relieving.,"Time management, always hears 'short on schedule', and too much students commenting during lecture.",,,,
1,3,2,1,1,6,2,1,1,2,2,5,3,2,3,,Just being awesome.  Explanations were clearly explained.  Did not feel like I was ever asking a stupid question.,So much better compared to other professors.,The instructor.,The course.,,
2,3,2,2,2,6,3,3,1,2,2,5,3,3,5,,,,,,,
1,3,1,1,1,1,1,1,1,1,2,2,2,2,5,,Dave is hilarious and good at instructing the material.,Promise me you'll never change.,Helped understand low level programming.  Solid foundation for future programming.,Difficult midterm.  Assignments took too long.,Very positive and enthusiastic about learning.,Satisfactory.
2,3,2,1,1,1,1,1,1,2,1,3,3,3,3,,He is hilarious and engaging.  The prof makes the class interactive and interesting.,"Amazing professor, hoping to take more courses with him.",,,,
1,2,1,2,1,2,2,1,2,2,5,2,2,2,5,,Humourous enough.  Examples are very interesting and easy to understand.,Keep being awesome.,Writing code.,Have to learn things outside the material taught in class.,Good.,
2,3,1,1,1,6,1,1,1,1,1,2,3,3,3,,Best prof ever.,,The prof.,"We went through the material a little slow so I worry about missing some points and learnt less than previous classes.  Also, it would be better if all of the slides are posted at the beginning.",Positively :),
1,3,1,1,1,2,2,1,1,1,1,1,2,2,3,,"I think that Dave's teaching skills are very adept.  He is probably the best professor I've had in my 3 semesters here.  Everything he teaches is done in a way that maximizes student understanding, and it's rarely boring.",I can't think of anything.  See? He's just that good.,"It was interesting; likely this was my most intriguing course this term.  When they didn't make me feel like pulling my hair out, I liked the assignments.",There was a lot to learn.  Sometimes assignments were either too long or a bit too difficult.,,I don't like the fact that the classroom is underground.  Wasn't very noisy.
2,2,2,1,1,3,2,1,1,2,2,3,2,1,5,,Tries to make the course fun.,Everything is fun.,Teaches A LOT of material,,Ok.,Room is not that good.
1,4,1,1,1,1,1,1,1,5,2,5,3,2,3,,,,,Compare with last term CS 136.  The standard of this term is much lower.  Actually we didn't learn ADT thing so far.  I am wondering how can I survive in CS 246 in the future?,,
1,3,1,1,1,4,2,1,1,2,4,5,3,1,5,,,,,,,
1,3,1,1,1,1,1,1,1,2,2,3,,2,4,,Vivid examples.  Good explanation.  Good connection with real life.,,,"No sample solutions.  Even though I know the solution should be processed for the next term, but it's hard to find time to go over the question with the TA/Prof.",Positively.,"Class size: good, suitability of room: good, noise level: good."
1,3,3,3,3,3,2,3,1,1,1,1,3,3,5,,Good for everything.,,,,,
3,3,2,1,2,6,2,2,1,2,4,3,3,2,4,,,,,No sample solution for assignments.,,
1,3,3,3,3,3,2,2,2,2,3,1,2,2,2,,,"Sometimes explains something too fast, and sometimes spend too much time on one thing.",Good material.,,,
2,3,1,1,2,3,2,2,1,2,4,2,3,3,4,,,,,The order of the course notes are not that clear.,,
2,3,2,3,3,3,2,3,1,2,2,1,3,2,4,,Humour.,Digress too much sometimes (ran out of time at the end).,Mostly interesting.,Proceed a bit too fast.,Positively.,
2,3,1,1,1,4,2,1,1,3,1,5,3,2,3,,The most important thing is that his lectures are not boring.  You won't fall asleep.,,,"Somehow, there are too much material, and for that the assignments are usually hard examples and time consuming a lot.  There are not that much examples.","In general, I love his lectures and the atmosphere of the class.","For sure small classes are better.  The size of class is good, but it could be better."
1,3,1,1,1,6,1,1,1,1,1,2,3,2,3,,"Keeping course material interesting (i.e., not boring).",,,,,
1,3,1,1,1,1,1,1,1,1,1,5,2,3,3,,"Funny, enthusiastic, well organized.",Plan the time required for each module ahead to avoid rushing through last few modules.,"Funny, useful.",No marmoset release tests.  No assignment solution.,Positive.,Great.
1,3,2,1,1,6,2,1,1,2,2,5,2,1,5,,"Even though the course is hard for me, Dave made his lectures as enthusiastic and interesting as he can for better understanding to students.",,,Assigned work is really hard at some point.,,Love how Dave always shares cool YouTube videos before lecture.
1,3,1,1,1,1,2,1,1,2,2,5,3,3,2,,Good teaching skills and strategies.  Easy to follow lectures.,,,,,
1,1,1,1,1,1,1,1,1,1,1,5,3,2,3,,Good lecturer.,,,Please make notes available at least 1-2 days before lectures.  I want to print the notes so I could jot down notes in lectures.,,
1,1,1,1,1,1,1,1,1,1,4,5,1,1,5,,"Fantastic prof, crystal clear, shows interesting examples every lecture, so easy to follow, made me love CS!",,I learned so much new material and interesting 'real world' problems in CS.,,,
1,3,2,1,1,2,1,2,1,1,4,2,3,2,3,,"Good oral presentation, helpful answers for in-class questions.",,,,,
1,4,1,1,1,1,1,1,2,1,1,1,4,3,3,,Explained the content very well.  Made the class very interesting and worth looking forward to have the yellow boxes.,Sometimes it is better not to answer all of the questions in class.,Aiming you to the right direction of programming.  Introduce to the programming world (Actual).,None.,,
1,3,1,2,1,6,2,1,1,1,,5,3,3,3,,"Not boring, I'm always paying attention.  Stresses important points of course content so we don't get mixed up.  Pretty much everything.",I would have preferred more examples done as opposed to discussing a lot of off topic questions.,,,,"I never comments on these evaluations, but you're just so good that I had to.  You definitely picked the right thing to do when you grew up."
1,3,1,1,1,1,1,1,1,1,1,2,3,2,2,,Clear explanations.  Always keep the class involved in the lecture.  Speed is just right.,Nil.,,,,
1,3,2,1,1,6,2,1,1,2,4,4,3,3,4,,Great teaching style.,,,,,
3,3,2,1,1,6,2,2,2,2,2,5,3,3,4,,,,,,,
1,3,1,1,1,2,2,1,1,1,1,4,1,2,4,,,,,,,
1,2,1,1,1,2,1,2,2,2,2,3,2,2,4,,,,,,,
1,3,1,2,1,2,2,1,1,2,4,5,2,2,5,,Using examples to explain some complex content.,,Learn a lot.,Sometimes too rush.,,
1,3,2,1,1,6,1,1,2,1,1,5,3,3,2,,Dave keeps everyone interested.  It's hard to dose off with his personality.,,,,,
2,2,3,3,2,1,1,3,1,2,2,5,2,2,4,,Funny.,Please draw more with blackboard instead of just talk.  Sometimes feel like you don't want to answer questions after class and feel pressured to leave asap.  Embarrassed to ask more questions.,Detailed.,Weird rules such as must use ? Operator instead of if statement.,Positive.,
1,3,1,2,1,1,1,1,1,1,1,5,3,3,3,,Explains concepts very well/thoroughly.,I would have liked assignments that were more application to the real world / interacted more with the real world.,Helpful lectures.,Not that many.,Fine.,
1,3,1,1,2,2,2,1,2,1,2,5,3,2,2,,"Excellent explanations, great examples and jokes.  Keep it up!",Nah: not really needs to improve I'd say.,,,,
1,3,1,1,1,6,2,1,1,2,2,2,2,2,4,,Clearly explains content.  Interesting teaching style.,,,Sometimes it is a little bit difficult.,,
1,3,1,1,1,1,1,1,2,1,2,5,2,3,4,,,,,,,
1,3,1,2,2,3,1,1,1,2,4,2,3,3,4,,,,,,,
1,3,1,2,1,6,2,2,2,1,2,4,3,3,2,,Very cute.  Very good.  Very impressive.  One of the best profs in UW.,Already done well.,Basic introduction to the CS world.  Useful.,Should set CS 136 as the introduction CS course instead of teaching Racket.,Positively.,Just okay.
1,3,1,1,1,6,2,1,3,2,2,5,3,2,2,,,,,,,
1,3,2,3,1,2,2,2,1,2,4,2,3,3,3,,,,,,,
2,3,1,1,1,6,1,1,2,2,1,5,2,2,3,,Class explanations.  Cheerful attitude.  Helpful whenever possible.,More forceful.  Groups of people tend to talk.  I would call them out.,"Interesting material, satisfying assignments.",Sometimes abstract feeling.  Can be difficult to think about how it is.,"Everyone friendly, occasionally groups of talking people get a bit loud.",No complaints here.
2,3,3,3,2,3,2,2,1,2,2,5,3,3,2,,You try to make the course as interesting as possible.,You need to be careful of your 'word choice' when you speak.  Sometimes the words you used are offending.  You go too slow on the course material.,,,,
1,3,2,2,1,1,1,1,1,2,2,3,3,2,5,,,,,,,
2,3,1,1,1,2,1,1,1,2,2,4,2,2,4,,,,,,,I love machine gun!
2,3,1,1,1,2,2,1,2,2,2,2,3,2,2,,,,,,,
