mc_1,mc_2,mc_3,mc_4,mc_5,mc_6,mc_7,mc_8,mc_9,mc_10,mc_11,mc_12,mc_13,mc_14,mc_15,mc_16,txt_1,txt_2,txt_3,txt_4,txt_5,txt_6
2,3,1,1,1,3,2,1,1,1,4,3,3,2,2,,Adapts the 'no child left behind' policy pretty well.  Isn't boring & doesn't suck.  I'm going to rate him ***** on ratemyprofessor.com,"Occasionally some implementation of certain concepts, namely examples, are too rushed.","I definitely understand C better, much better than what I gained from self-learning.  Felt Racket was useless in job market BUT is a great transition to understanding C.",Some random concepts like total-order was unnecessary.,"Atmosphere was VERY positive, felt relaxed in this class despite having material tougher than any other course I have.  Jokes were taken lightly & helped understand concepts.","One problem is the room itself: with no elevation between rows, those who are short & sitting in back CAN'T SEE !"
1,3,1,1,2,2,1,1,1,1,2,4,3,3,3,,"He is very engaging and explains very well, in particular when answering student questions.",More diagrams please.  I think seeing a diagram or representation of the materials can be very helpful.,It is very interesting and covers a good depth in the basics of the programming language used.,"Sometimes both in the course notes and assignments, explanations can be ambiguous and unclear.",,
1,3,2,2,1,3,1,1,1,1,2,5,3,3,3,,"Dave does a great job keeping the class atmosphere light and enjoyable, while teaching extremely well.",,"Pointers, arrays, strings in C.  Also ordered sets in Racket.","Not going in-depth on more advanced topics like self-balancing BSTs.  Also, design recipe.",Dave does a great job keeping an amazing class atmosphere with his jobs and upbeat attitude.,
1,1,1,1,1,6,4,1,1,2,2,5,3,2,4,,,,,,,
2,3,1,2,1,6,1,1,1,2,5,5,3,3,2,,Really funny.  Kept class interesting.,More bad jokes :),"C: lots of focus on how things work, rather than how they should be done.","Efficiency requirements were fairly heavy, without much emphasis on how to make efficient code.  Marmoset doesn't work: Bugs all the time.",,"No power in room, CS course..."
1,3,1,2,1,6,2,1,1,1,5,4,3,2,3,,Dave does a good job trying to keep the environment upbeat and interesting throughout the dry sections of the course material.,Slightly better board diagrams would be appreciated.  Animations to demonstrate concepts like sorting would be appreciated.,It was challenging enough to keep students invested.,Some segments were extremely dry and a certain assignment was far too difficult.  Marmoset feedback on release tests could be much better.,The instructor was always positive and entertaining.,
1,3,2,1,1,2,2,1,1,2,2,5,3,2,3,,Funny.  Provides good explanations to concepts.,,,Assignments were hard.,,I'd like there to be more power outlets.
1,3,1,3,1,3,1,1,3,2,2,5,6,2,5,,Attitude.,,The teaching way makes me feel good joining his class.,,,
1,3,1,1,1,1,1,1,1,1,3,5,4,2,3,,"Very approachable, made the lectures enjoyable and understandable.","No clear faults, good job and thanks.",Strong clear progression into understanding of low-level programming.,,"Class atmosphere was excellent, no negativity present.",
1,3,1,1,1,1,2,1,1,1,1,1,3,3,3,,Best prof ever!,,,Exams are too hard.,,
2,3,1,1,1,6,2,1,3,2,2,5,2,1,4,,"Great lectures, very engaging.",,Get better at understanding coding.,Too much emphasis on assignments.  Should not be required to pass all of them.,Positive.,
1,3,2,1,1,2,2,1,1,2,2,2,3,2,4,,He was very captivating and entertaining.  [diagram of a portal companion cube],,Very good at teaching C.  Could have gone a little more in-depth on some things.,Assignment 8,Very good.,notbad.jpg
1,3,1,2,1,6,2,1,3,2,2,5,3,3,3,,Mostly everything,,All,None,,
1,3,1,1,1,1,1,1,1,1,1,2,3,3,2,,,,,,,
1,3,1,1,1,1,1,1,1,1,1,1,3,3,4,,"Engages the class, makes the course extremely interesting.  Probably the reason I changed my major.",,,,,
1,3,1,1,1,6,1,1,1,1,4,5,3,3,2,,,,,,,
1,3,2,1,1,6,1,1,1,2,2,2,3,2,4,,,,,,,
1,3,2,2,1,6,2,1,1,2,2,3,3,3,3,,"Enthusiastic presentation of material.  Fun pre-class tangential videos, effective explanations of complicated material in an intuitive way.","Some explanations could be more brief, with less repetition.",Covered a lot of material.  Good introduction to C.,"Would have preferred more C, less Racket.",,
1,3,1,1,1,6,2,1,1,2,2,5,1,1,3,,He's easy to understand.,Sometimes he goes too fast.,,Efficiency and total orders.,Positive.,
1,3,1,1,1,1,1,1,1,1,1,2,3,2,2,,"Friendly, good at teaching difficult concepts.",,Interesting content.,,,Sometimes hard to see projector.
1,3,2,3,1,2,1,1,1,1,1,3,2,2,3,,He did a great job in both clearly explaining and making materials interesting.,The slides of powerpoint can be improved using more animation for describing pointers.,This course builds on our knowledge from CS 135 about using memories and programming efficiently.,It goes too shallow about characteristics of C language.,"It was very positive, exciting and nerdy.",Thanks Dave for teaching us! Your are the second best prof so far!
2,2,1,1,1,6,2,1,1,2,1,4,2,1,5,,Making the course material less dry.,,"Prof. Tompkins attempted, and succeeded, in making the class interesting.",Some things could've been less rushed through.,It was positively affected by the instructors attitude.,"Class size is pretty big, but that can't be changed."
1,3,1,2,1,2,2,1,1,1,2,5,3,1,4,,Really engaging lectures.  Good explanations and diagrams to further illustrate points.,Review previously-learned content to enforce knowledge learned previously.,Expanded one's way of thinking about CS.  Nice to learn about what goes on behind the scenes.,Not always practical.  Some assignments were too complicated for the amount of knowledge taken away from it.,Very positively: it was a joy to come to class.,It was great! A bit difficult to see the board sometimes.
1,4,2,1,1,1,1,1,1,2,1,2,3,3,2,,Keeps the content beginner friendly (explained things I considered obvious),Extra pointer review would be nice,Online help board.,,,Climbing stairs sucks.
1,4,1,2,1,2,3,1,1,1,4,2,3,3,3,,Explained difficult topics clearly and in depth.  Answered student questions well.,,The assignments.,,,
1,3,1,2,1,6,1,1,1,1,1,5,3,2,3,,Taught very well.  Clarified concepts and went into detail when necessary.,"In the latter part of the course, he started writing step-by-step examples of how code ran.  I wish he did this earlier.",Course materials went over nearly everything.,Assignments were sometimes very time-consuming.  Textbook was near useless.,,
1,3,1,1,1,2,1,1,1,2,1,2,3,2,2,,"Really good professor, interesting topics and kept student interest for duration of the course.  Good use of class time, seems to enjoy teaching CS.",,"Good past overlap took 115, 116 jump to 136 quite smooth.",,"Good class atmosphere, very positive.","Could be smaller class size, not big deal."
1,3,1,1,1,1,1,1,1,1,2,1,3,2,3,,"Everything, fantastic teacher made classes/course very enjoyable.  I would not have wished for a better lecturer for computer science.",,,,,
1,3,2,2,1,2,1,2,1,2,2,2,3,3,4,,Explaining confusing concepts.  Brings interest.,,,,,
