Organization,Explanations,Questions,Visual Presentation,Oral Presentation,Availability,Interest,Effectiveness,Attendance,Assigned Work,Printed Notes,Textbook,New Material,Assigned Work Amount,Hours Per Week,Text Comments
Excellent,Just Right,Excellent,Excellent,Excellent,Always,Very interesting,Excellent,90-100%,Very helpful,Very helpful,Very Helpful,Okay,Okay,11-15 hours,"What instructor has done well: Useful examples
Course's strong points: Interesting, and applicable.
"
Good,Just Right,Satisfactory,Good,Excellent,I did not seek help,Interesting,Excellent,90-100%,Very helpful,Helpful,No text required,Okay,Somewhat too much,11-15 hours,
Excellent,Just Right,Excellent,Excellent,Excellent,Always,Very interesting,Excellent,90-100%,Helpful,Very helpful,Helpful,Somewhat too much,Somewhat too much,3-6 hours,"What instructor has done well: Made the class funny and exciting.
Course's strong points: Very engaging and easy to follow.
Course's weak points: Amount of assignments too high.
Class atmosphere: No. The instructor was great.
"
Excellent,Just Right,Excellent,Excellent,Excellent,I did not seek help,Very interesting,Excellent,90-100%,Very helpful,Very helpful,Very Helpful,Okay,Okay,7-10 hours,
Excellent,Just Right,Good,Excellent,Excellent,Always,Very interesting,Excellent,90-100%,Very helpful,Very helpful,Helpful,Okay,Somewhat too much,11-15 hours,"What instructor has done well: He has been an excellent instructor overall.
Improvements to technique or style: None that i think of.
Course's strong points: The presentation of content.
Course's weak points: Some content was rushed a bit.
Class atmosphere: The class atmosphere was positive with dave as our instructor. He did not make any offensive remarks and acted very professional.
Other Comments: No comments.
"
Excellent,Just Right,Excellent,Excellent,Excellent,Most of the time,Very interesting,Excellent,90-100%,Very helpful,No printed notes,Helpful,Okay,Somewhat too much,> 15 hours,
Excellent,Just Right,Excellent,Excellent,Excellent,Often enough,Very interesting,Excellent,75-90%,Very helpful,Helpful,Helpful,Okay,Okay,7-10 hours,"What instructor has done well: Is able to introduce new concepts in an engaging manner that connects to other previous topics.
Improvements to technique or style: No complaints
Course's strong points: Lectures
Course's weak points: I wish there were more office hours
Class atmosphere: Neutral atmosphere
"
Excellent,Just Right,Excellent,Excellent,Excellent,I did not seek help,Very interesting,Excellent,90-100%,Very helpful,No printed notes,Not Helpful,Okay,Somewhat too much,7-10 hours,"What instructor has done well: The energy is great and makes me focus in class
Improvements to technique or style: slightly on the fast side
Class atmosphere: positively
"
Excellent,Just Right,Good,Good,Excellent,I did not seek help,Very interesting,Excellent,90-100%,Very helpful,No printed notes,No text required,Somewhat too much,Okay,11-15 hours,"What instructor has done well: great prof, taught everything and was really fun to listen to
Course's strong points: pretty cool course
some assignments were fun
cool things with recursion
Course's weak points: dr racket
some assignments were wayyyyy too hard (matrix)
"
Excellent,Just Right,Excellent,Excellent,Excellent,Always,Very interesting,Excellent,90-100%,Very helpful,Very helpful,Very Helpful,Okay,Okay,11-15 hours,
