mc_1,mc_2,mc_3,mc_4,mc_5,mc_6,mc_7,mc_8,mc_9,mc_10,mc_11,mc_12,mc_13,mc_14,mc_15,txt_1,txt_2,txt_3,txt_4,txt_5,txt_6
1,3,1,1,1,1,1,1,1,1,1,1,3,3,4,Useful examples,,"Interesting, and applicable.",,,
2,3,3,2,1,6,2,1,1,1,2,4,3,2,4,,,,,,
1,3,1,1,1,1,1,1,1,2,1,2,2,2,2,Made the class funny and exciting.,,Very engaging and easy to follow.,Amount of assignments too high.,No. The instructor was great.,
1,3,1,1,1,6,1,1,1,1,1,1,3,3,3,,,,,,
1,3,2,1,1,1,1,1,1,1,1,2,3,2,4,He has been an excellent instructor overall.,None that i think of.,The presentation of content.,Some content was rushed a bit.,The class atmosphere was positive with dave as our instructor. He did not make any offensive remarks and acted very professional.,No comments.
1,3,1,1,1,2,1,1,1,1,4,2,3,2,5,,,,,,
1,3,1,1,1,3,1,1,2,1,2,2,3,3,3,Is able to introduce new concepts in an engaging manner that connects to other previous topics.,No complaints,Lectures,I wish there were more office hours,Neutral atmosphere,
1,3,1,1,1,6,1,1,1,1,4,3,3,2,3,The energy is great and makes me focus in class,slightly on the fast side,,,positively,
1,3,2,2,1,6,1,1,1,1,4,4,2,3,4,"great prof, taught everything and was really fun to listen to",,pretty cool course[nl]some assignments were fun[nl]cool things with recursion,dr racket[nl]some assignments were wayyyyy too hard (matrix),,
1,3,1,1,1,1,1,1,1,1,1,1,3,3,4,,,,,,
1,3,1,1,1,1,1,1,1,2,1,4,3,2,5,Dave is the funniest teacher in CS135!![nl]Also very helpful and friendly,,,,No,
1,3,1,1,1,1,1,1,1,1,1,1,2,2,3,,,,,,
1,3,1,1,1,6,1,1,1,5,5,4,3,2,3,Making the course feel extremely interesting.,,Dave Tompkins and Lego Movie,Dave is flawless,,
1,3,1,1,1,6,1,1,1,1,5,5,3,2,2,* Examples were very good at adding to an understanding of the concepts[nl]* playing clips of a movie beforehand motivated students to arrive on time,,,,,"Class size was good, though even with glasses it was a little tricky to see the screen from the very back."
1,3,2,1,1,3,4,1,1,2,4,4,3,2,2,,,,,,
1,4,1,1,1,6,1,1,1,1,2,5,4,4,2,Real life application of concepts. Ie: evolution trees,"More class participation[nl]More jokes[nl]Show us interesting things that can be done in racket[nl]Needs less lightsabres, more racquets",Dave.,"Make the assignment all the same difficulty[nl]We were stuck on beginner student for a long time, while some concepts such as trees, locals were very quick.","Too many people sleeping, on Facebook, etc.",Teach more cs136 sections in winter 2016
2,3,1,1,1,6,2,1,1,2,2,4,3,2,3,The course was really interesting and Dave did a great job explaining things and keeping the class's attention.,,,,,
1,3,1,1,1,6,2,1,1,2,2,4,3,3,3,"He taught the class in a very creative manner, was clear and well organized with each lecture.",None,It is a good course for teaching students that have little to no programming experience.,I didn't like the design recipes or templates because I was able to do all questions without the use of them.,"I really liked the atmosphere, it was relaxing and and it was an open environment.",No
