smc_1,smc_2,smc_3,smc_4,smc_5,smc_6,smc_7,smc_8,smc_9,smc_10,smc_11,smc_12,smc_13,smc_14,txt_1,txt_2,txt_3,txt_4
5,5,5,5,5,5,5,5,5,5,5,5,2,5,60%,- good intro to computers,- have more videos to explain hard concepts -some stuff weren't clear enough,- Clearer explanation of certain assignments such as HTML No improvements necessary
42,30,25,42,10,33,17,24,14,23,28,12,22,23,70%,- making course simplified - analogies well used weekly assignments helped to grasp the modules.,"- module 9 is redundant, excessive and obnoxiously long",- Make the modules clearer --> should be able to find answers to Multiple choice questions (some are not there in module)
64,69,73,73,37,71,71,54,62,50,78,41,121,74,70%,- Organization of class material,- Slow marking,- wish all the modules were released all at once so it will be easier to self pace No improvements necessary
25,32,32,21,44,30,36,56,43,60,25,66,,37,70%,"A great introduction to computer science. This has provided be with skills that I can put on my resume for co-op. As a science student, I am never really exposed to specific computer training, but  it is always expected that co-op students are able to use so many types of programs, and be very computer literate. This has prepared me very",50% of weight on the final exam is too much,1) stick to the schedule you set out in the beginning - do not be soft on students. 2) more videos would really help learn some of the excel and html material - (I already knew excel as I have completed 4 co-op terms but  it is relatively difficult to grasp for a first year student or someone who is not familiar with excel) 3) lecture materials need to be easily download-able and consistent - i.e. if you use pdf for a module all other modules should also be pdf. I found  it hard to keep track of modules while studying for final
9,9,11,6,33,8,17,8,20,9,7,18,,5,70%,application of the material good stuff to learn Content/Assignments,a bit disorganized in the reading of modules.. I got confused sometimes with the wording sometimes. Wasn't too straightforward sometimes.,"1.use more videos to explain 2.combine the theory with practice,which may rise students' interest. Include more videos like the ones in module 9"
3,3,2,1,19,1,1,1,4,0,5,6,,4,70%,-at your own pace -course relates to real life important skills developed,A few technical glitches (more than likely not the fault of the course though),"A lot of the assignments for HTML, CSS  and Excel required me to obtain information from outside of class resources. Don't expect us to know how to do an assignment on material that wasn't included in the module (not ""taught"")"
,,,,,,,,,,,,,,75%,available online,A lot of reading,"A textbook, or guide to help us answer assignment questions. Have more tutorial sessions on harder assignments."
,,,,,,,,,,,,,,75%,Basic knowledge about computers.,Advances too quickly,Add course notes that are purely relvant to what we are learning.
,,,,,,,,,,,,,,75%,"can be done at anytime, easy to accomodate with anyone's schedules The assignments were VERY helpful in applying the content learned. interesting and useful course content (eg.  excel units)","Almost every assignment had some kind of error which made multiple answers correct. Grading of assignments also did not include any feedback, so when arbitrary marks were removed I did not know what I need to improve on.",advance  at their own pace.  There were so many errors in the tests that marks were not accurate representations of knowledge. Many questions were marked wrong because the error on the test was thought to be the error in the question.
,,,,,,,,,,,,,,75%,clear,Ambiguity,Allow students to view their submissions in order to see where they went wrong. (after the due date)
,,,,,,,,,,,,,,75%,Concise presentation of material,Bad wording on multiple choice sometimes,"Better wordings in the assignment questions and better communication with the students (ex. the format of the final exam, better scheduling of returning assignments, clear and definite feedbacks for each assignment) better explination for diffrent questions"
,,,,,,,,,,,,,,80%,Course load isn't too heavey.,better explanations of feedback from the TA's,"Check over the quiz questions before posting, have a specific date where you release the next week's modules (sometimes they were released early Monday, sometimes late Monday, sometimes Tuesday, etc) so that I can plan this into my scheedule."
,,,,,,,,,,,,,,80%,Developing skills in Excel and HTML,chapters that bombarded us with paragraphs,Consistent formatting of modules (themes used were very different and made some content look extremely different from some other content)
,,,,,,,,,,,,,,80%,-Easy to follow instructions,comfortable with the material in the module but was unable to apply it to the assignment.,Ensure proper spelling in modules and quizzes.
,,,,,,,,,,,,,,80%,Easy to understand and useful for those who are interested in technology and computers. you can spend your own time when ever,content is not organized well and this makes it hard to learn. assignments are not explained well and there are errors everywhere.,"ensure that the questions in the quizes are clear and the correct answer is selected in the answer key try to stick to the schedule, have assignemnts and modules ready to release on time"
,,,,,,,,,,,,,,80%,Easy.,-could have more HTML/CSS -too much emphasis on Excel,Faster and more replies to questions regarding the material. Make the path to meeting instructor more clear.
,,,,,,,,,,,,,,80%,Effective slides and lessons for each topic,"course website is horrific. Can not study ahead because modules are released weekly instead of at the beginning. website is difficult to navigate. additionally, more than one module was not incorporated into the course overall. It feels like the course flies by the seat of it's pants which is annoying. Can not view results of quizzes or assignments.",Fix the website to make it more user friendly. It's incredibly ironic that a CS 101 course has a horribly designed
,,,,,,,,,,,,,,80%,Everything was well organized as an online course. I enjoyed using Excel as it helped me with real life. Concise and good beginning to computer science overall.,Did not get any feedback for assignments and I was not sure where I lost marks. Sometimes it is hard to find answers to questions in the discussion board.,"For contents such as those pertaining to Excell for example, provide outside sources that students can refer to for further examples on the more complex contents."
,,,,,,,,,,,,,,80%,generally interesting and useful subject matter; clear writing.,Feedback  on assignments or quizzes would be helpful rather than just getting a mark. The course is a little tough for people with no computer background,Give feedback on assignments. Let students know where they lost marks.
,,,,,,,,,,,,,,80%,great content easy to understand modules,First few modules were not very informational. Not as many applications problems related to CS as I would've liked.,Group Projects would be great!
,,,,,,,,,,,,,,80%,Great content.,"formatting of modules were not consistent and a times not clear, and jumpy",have more detailed notes/lecture slide i guess
,,,,,,,,,,,,,,80%,Great course for beginners in computer,"-Found that the course started off strong but ended weak. the modules became  a bit less detailed and I Found myself having to access other websites and sources to learn how to complete certain tasks. In addition, the exam is four days away and the format is yet to be released, knowing this information would be helpful In preparing.",I believe that perhaps more practice questions in the page coding would be benificial. Some  instructional videos would be nice.
