smc_1,smc_2,smc_3,smc_4,smc_5,smc_6,smc_7,smc_8,smc_9,smc_10,smc_11,smc_12,smc_13,smc_14,txt_1,txt_2,txt_3,txt_4
5,5,5,5,5,5,5,5,5,5,5,5,2,5,80,Able to communicate basic lessons and able to look into the material when I am stumped on a question.,"The assignments for the online course were presented in a manner that was unacceptable. Particularly the Excel part of the course. Why would you take a screen shot of an excel page rather than just provide me with the excel page?  It made no sense made the questions undoable for me. If you notice my mark distribution, I lost most of my marks on Part B of the Excel weeks. Another point about the excel section of the course is that the functions that we were trying to solve in much of Part C for those weeks were super unnecessary and I will  never use. Why are you wasting my time on super difficult to code functions that I will  never use when I can 100000000 times easier use a calculator or mental math? My time spent on the one assignment I did horrible on probably exceeds the time spent on all of the other assignments combined. The questions were screenshots of the excel page and made me write an unusually hard code for something that I could calculate in my head within 15 seconds. Some  of the multiple choice questions were worded extremely poorly. This resulted in myself selecting the wrong answer for a few of them. Additionally, it the multiple choice was usually littered with spelling mistakes. The rest of the course other than the excel section was put together appropriately. Although it does take an extremely long time to get marks back.",all other online classes I have taken have had online lectures to listen to. just giving us the information and having to teach ourselves the information is lazy
14,9,11,18,5,11,8,8,6,6,5,4,7,8,>85%,clear instructions on how to complete assignments - assignments contributed towards more in-depth learning ability to access functions in excel,(WikiText). Some  of the information provided isn't consistent.,definitly make it an on campus course
13,18,19,16,12,20,17,15,15,17,23,9,35,18,78%,Convenient access of study materials,"A few times, the ISAs made significant errors in marking my assignments/short answers - roughly 20-30% mark difference. Also, I experienced an input mark error where my mark shown in my gradesbook deviated from the dropbox mark. These experiences were extremely frustrating as I got confused with why my submitted answers were wrong and the errors had a great effect on my mark. Modules like 6, 7 and 10 were over cluttered with text and it was quite confusing to follow along sometimes.","Double check the content provided, and make some of the files user-friendly for Mac users."
10,8,7,7,12,4,8,14,12,14,9,20,,13,75%,Course materials are easy to follow.,"access to help is weak answering questions via emails is slow marking is flawed (several mistakes made with solutions) unreasonable marking in cases where there was disagreements in terms of clarity of instructions Countless. I'm in my final year of undergrad, taking my last required course for my degree, and I learned more from my multiple co-op terms at a tech company than I did taking this course. The course material was poorly written and hard to understand just by reading. The instructions for practice exercises weren't thorough and made completing the PRACTICE exercises impossible. What instructor? I experienced no interaction with the course instructor, so I had to fill out my answers above as needed. I do congratulate the TAs, as they were speedy with replies to questions and marking. But as far as online learning goes, this was the most difficult course for me to navigate through and actually comprehend. I know it must be difficult to conduct a lecture for this course, but  I found myself often wishing for an on-campus alternative where I can interact with the material (and the instructor) more directly.",Ease students into the Excel module. I found  it went from Level 1 Excel functions and then accelerated to Level 99
2,4,1,1,6,4,5,0,4,2,2,4,,2,80,Covering a wide variety of computational areas of study. The topics being taught  in the course are really interesting Microsoft Excel portion of the course,any math explanations whatsoever,Ensure correct marking scheme are used when marking assignments/short answers - Train ISAs to Ensure minimal marking errors occur to students (to minimize confusion as well) - more concise text/information for the modules rather than a long clump of text
3,3,4,0,6,2,3,4,4,2,3,4,,1,80,Covers alot of casual level computing assignments applied learning from the modules. How applicable the learning is to real life,Difficult to learn the material by heart due to lack of practice.,"Excel expectations. I have worked with Excel before, but still found  it difficult to follow along in these modules. Offer more transparent and accessible on-campus alternatives. I know this might not be an option for some students, but  I often wished that there was a weekly tutorial of some sort so I could practice some of the functions taught  in this course in a collaborative learning environment with the help of TAs. I feel like many students (especially those students who are local or on-campus) might benefit from this. Offering a resubmit for some assignments. Providing the opportunity for students to resubmit their assignments with corrections might aid in the learning process - especially after a particularly difficult module."
,,,,,,,,,,,,,,80,"Covers alot of different material that would be helpful in real life, especially in a business setting.","During the last few weeks of the course, the material was a bit more ambiguous and the grammar of some questions of the quizzes were not easy to understand.","For weeks 10-11,  some more examples and thorough teachings of the intracacy matrix and such should be explained more in depth. This is because usually I refer to google to answer some questions but even the results from google did not help me understand some concepts."
,,,,,,,,,,,,,,80%,Covers many concepts of computers in an intro to cs course.,everything,"futher explain any math formulas used, found  it was extremely difficult when basic math question were used in examples and then assignments required more advanced  thinking without explanations."
,,,,,,,,,,,,,,85,Flexible time,I felt the wiki portion didn't have enough depth.,"Give more practice problems, its hard to learn something when you are only given one problem to practice with. less assignments"
,,,,,,,,,,,,,,78%,Good diversity of information ranging from Excel to simple webpages and wikis. Learning basic skills,"Is that the course is only in a reading fromat with 1-5, mostly on excel and ven diagram. In addition we have to read an entire book about search engines, which is kind of an over kill on he reading side.",Have more detailed instructions for learning the content.
