smc_1,smc_2,smc_3,smc_4,smc_5,smc_6,smc_7,smc_8,smc_9,smc_10,smc_11,smc_12,smc_13,smc_14,txt_1,txt_2,txt_3,txt_4
5,5,5,5,5,5,5,5,5,5,5,5,2,5,90%,"It provided a large amount of content, and students were able to develop various skills on how to effectively use computers.","Since there is a lot of content provided, it is difficult to keep up with the course, and ensure good understanding at the same time.",Please provide specific learning goals at the beginning of each module. This is to ensure the students know exactly what they have to do and know to succeed in the course.
15,7,10,21,3,18,8,3,3,8,9,4,14,12,70,Weekly assignments Chat online and walk in office hours on campus Discussion boards,Not much coding languages learned Less excel lessons Some content feels outdated (how to search),More videos Would like to learn CSS as well in this course Less textbook readings (readings not helpful)
38,38,43,37,23,36,32,34,32,35,41,19,56,33,Maybe around a 75%?,The chat rooms and the TAs contribution to assisting students with extra questions,It was my first time taking an online course and I assumed that I could work on the course every day after work (after 4:30pm) but the chats were not available after 4pm. I think help from TA's should be available after hours as well. Overall I loved the course a lot. The course was well designed and the content was very valuable (including the history part)!,The solutions for assignments were not very detailed or specific. Some only had one answer. It would have been nice to see step by step solutions for all the questions. This would help students who know the process but may have made a mistake at a certain step to spot it easily.
11,17,10,7,27,9,24,29,20,24,11,35,,20,80%,Modules are evenly spread out. The schedule allows you to work at your own pace.,The language within the modules could be simpler - I think this could optimize understanding.,"I'd recommend this course to anybody. As it is right now, it's fine."
4,6,6,4,11,5,3,2,12,1,5,5,,3,80%,"Good introduction to excel, and computer language Textbook supplements the course","The assignments tested on topics that were not covered in the lecture or textbook, especially in the spreadsheet portion of the course. This was very discouraging as a lot of extra work had to be put in to try and find the answers online or with other resources. The spreadsheet portion could have been taught better, more examples and videos would have been very helpful.",Include more videos in the lecture to show students how to work with the computer. Test only on that information that is covered in the course.
2,2,1,1,6,2,3,1,2,1,4,6,,2,85%,You learn a lot about the computer.,In the outline it doesn't explain how in depth it goes. I assumed it would teach you how to use it not all the bits and pieces that make it work.,"If not this course, then have another course made for people who just want to learn about the basic necessities in a computer not the how it works part just how to work it."
,,,,,,,,,,,,,,75%,Regular assignments to reinforce knowledge,"Some knowledge needed in the assignments is not taught, and this was very frustrating at some times. Learning WikiText - I think it's a waste of time. Layout of content could be confusing and difficult to read and comprehend, given the large blocks of text. Maybe try to break them down more, and use more images and videos?",More videos! They were incredibly helpful.
,,,,,,,,,,,,,,80%,None,The course material is not taught at all. The quizzes are so general and the answers are not in the slides.,Have better slides.
,,,,,,,,,,,,,,70,The easy access to TAs.,Modules were convoluted and did not cover all material required to do well on the assignments.,Update course content and be more concise in the way concepts are explained.
,,,,,,,,,,,,,,85%,"Good intro course to using programs such as excel, html and wiki","don't see the point in spending 5 weeks learning about search engines and how they work, rather spend more time learning about excel and the other programs that are more applicable for future use Communicating what is expected.","update the modules, a lot of it is outdated and does not match the current layout of webpages today ex. wiki modules the sidebars aren't the same as the pictures when you compare them to wikipedia"
