Timestamp,Question 0 (Organization),Question 0 Numerical,Question 0 Comment,Question 1 (Explanations),Question 1 Numerical,Question 1 Comment,Question 2 (Questions),Question 2 Numerical,Question 2 Comment,Question 3 (Visual Presentation),Question 3 Numerical,Question 3 Comment,Question 4 (Oral Presentation),Question 4 Numerical,Question 4 Comment,Question 5 (Availability),Question 5 Numerical,Question 5 Comment,Question 6 (Interest),Question 6 Numerical,Question 6 Comment,Question 7 (Effectiveness),Question 7 Numerical,Question 7 Comment,Question 8 (Attendance),Question 8 Numerical,Question 8 Comment,Question 9 (Assigned Work),Question 9 Numerical,Question 9 Comment,Question 10 (Printed Notes),Question 10 Numerical,Question 10 Comment,Question 11 (Textbook),Question 11 Numerical,Question 11 Comment,Question 12 (New Material),Question 12 Numerical,Question 12 Comment,Question 13 (Assigned Work Amount),Question 13 Numerical,Question 13 Comment,Question 14 (Hours Per Week),Question 14 Numerical,Question 14 Comment,Text Question 0 (What instructor has done well),Text Question 1 (Improvements to technique or style),Text Question 2 (Course's strong points),Text Question 3 (Course's weak points),Text Question 4 (Class atmosphere),Text Question 5 (Other Comments)
2016-11-21T13:46:32,Good,1,,Somewhat too high,1,,Excellent,0,,Excellent,0,,Excellent,0,,Always,0,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Helpful,1,,No opinion,4,,Too much,0,,Somewhat too much,1,,> 15 hours,4,,Interesting,,,,,dont like the classroom
2016-11-21T14:06:15,Good,1,,Somewhat too high,1,,Good,1,,Good,1,,Excellent,0,,I did not seek help,5,,Interesting,1,,Good,1,,90-100%,0,,Not helpful,2,,No opinion,4,,No opinion,4,,Somewhat too much,1,,Okay,2,,3-6 hours,1,,,,,,,
2016-11-22T13:44:29,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Always,0,,Very interesting,0,,Excellent,0,,50-75%,2,,Helpful,1,,Helpful,1,,Helpful,1,,Okay,2,,Okay,2,,3-6 hours,1,,,,,,,
2016-11-22T13:46:43,Excellent,0,,Somewhat too high,1,,Excellent,0,,Excellent,0,,Excellent,0,,Always,0,,Interesting,1,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,Helpful,1,,Somewhat too much,1,,Somewhat too much,1,,3-6 hours,1,,,,,,,
2016-11-22T18:39:38,Excellent,0,,Just Right,2,,Excellent,0,,Good,1,,Excellent,0,,Always,0,,Interesting,1,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,No text required,3,,Somewhat too much,1,,Okay,2,,7-10 hours,2,,,,,,,
2016-11-23T08:41:42,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Most of the time,1,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,No opinion,4,,Somewhat too much,1,,Too much,0,,> 15 hours,4,,"Explanations were very clear, classes were engaging, overall the instructor is as best as a student can hope to be",Perhaps give assignments that can be a little more reasonable (less time consuming),"Teaches students theory of ADTs, sorting algorithms, and how to solve problems in C",Sometimes assignments are too time consuming/ difficult,No,N/A
2016-11-23T11:03:46,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Always,0,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,Very Helpful,0,,Somewhat too much,1,,Somewhat too much,1,,11-15 hours,3,,,,,,,
2016-11-23T11:32:33,Good,1,,Just Right,2,,Good,1,,Good,1,,Good,1,,Most of the time,1,,Interesting,1,,Good,1,,90-100%,0,,Helpful,1,,Helpful,1,,Helpful,1,,Okay,2,,Okay,2,,7-10 hours,2,,,,,,,
2016-11-23T11:59:52,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Always,0,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,Very Helpful,0,,Okay,2,,Okay,2,,7-10 hours,2,,Teach the basic C with some good practices very well:),,Overall a very structured and well-taught course. Dave has a good sense of humor:) This is my favorite course of this semester.,"I feel like we should teach students how to compile their C program on their own computer and some basic unix command during the first lecture...
By the way... Personally, I use some unix shortcuts on keyboard(such as Ctrl+E goes to the end of line) But Seashell uses Ctrl+E as running test... It becomes very inconvenient when I really just want to move to the end of line...",,"Drink more water and less coke Dave, it's good for your health:)"
2016-11-23T14:57:56,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Always,0,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,Very Helpful,0,,Okay,2,,Okay,2,,11-15 hours,3,,"There was a lot of assistance outside of the classroom. With Piazza, tutorials, and office hours, it was hard to ever feel like something was impossible to understand.",The structure of lectures were very good and easy to understand. 10/10,"The course's content was pretty interesting, and the assignments were never insanely hard",Nah,None whatsoever.,"The class size was just right, the slides and laser thing was helpful, and the movie clip before class made me never late."
