mc_1,mcex_1,mc_2,mcex_2,mc_3,mcex_3,mc_4,mcex_4,mc_5,mcex_5,mc_6,mcex_6,mc_7,mcex_7,mc_8,mcex_8,mc_9,mcex_9,mc_10,mcex_10,mc_11,mcex_11,mc_12,mcex_12,mc_13,mcex_13,mc_14,mcex_14,mc_15,mcex_15,txt_1,txt_2,txt_3,txt_4,txt_5,txt_6
1,,3,,6,,6,,2,,1,,2,,2,,1,,2,,5,,5,,2,,2,,2,,"All the videos were very descriptive, and helpful when it came to doing the assignments.","When we received our marks back, i just wish we had a way of knowing where we went wrong and what we did that led us to get that mark. We did get some feedback but it was very vague. Other than that everything was fine!",The content.,Marking.,,"The professor was very nice and funny in his videos, therefore it didn't make them boring but fun to watch."
1,,3,,1,,1,,6,,6,,1,,1,,1,,1,,1,,4,,3,,3,,1,,Funny and engaging (ex. rickrolling),n/a,"Very useful material, very practical",n/a,Online course,Online course
1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,5,,3,,2,,2,,,,,,,
2,,3,,2,,2,,2,,6,,3,,2,,1,,1,,1,,4,,3,,3,,2,,The videos were nicely done.  The explanations were very clear which was really helpful.,"For some of the videos, it would have been easier to read text because it was a hassle to replay a part over and over again.",,,,
1,,3,,,,1,,1,,5,"The TAs were available, but the professor was not.",1,,1,,1,Online class,1,,4,,4,,3,,3,,3,,Very clear. Makes the examples funny and interesting.,Nothing.,That it was online. Very clear information.,Sometimes I could have used more time to complete assignments.,It was an online class.,It was an online class.
2,,3,,1,,2,,2,,2,,2,,2,,1,,1,,5,,5,,3,,3,,2,,The structure of this course is excellent.  Assignments are always related to course modules and easy to complete with the provided guidelines.,,- Course structure[nl]- Variety of assignments[nl]- Relatability of assignments to course content[nl]- Reasonable assignment length for time given to complete,,,
2,,3,,2,,1,,2,,6,,2,,2,,1,,2,,1,,4,,3,,3,,2,,,,,,,
2,,3,,1,,1,,1,,1,,1,,1,,1,,1,,4,,4,,3,,3,,2,,,,,,,
3,,2,,6,,3,,3,,6,,2,,3,,1,,2,,4,,4,,3,,3,,2,,,,,,,
2,,3,,6,,2,,2,,6,,2,,2,,,,2,,5,,5,,3,,3,,2,,Good explanations of course content via videos.,,,,,
2,,3,,6,,2,,1,His videos were funny and he had very good analogies,6,,2,,2,,1,,2,I would have liked more practice though.,2,,4,,3,,3,,2,,Well organized!,"Being consistent to presenting information, such as video or website or do both.",Relevant and practical information and presentation of the information,The final is worth way too much for a course based on a computer. I would rather have a large project with the same weighting.,,
1,,3,,6,,1,,2,,6,,2,,2,,,,4,,4,,4,,2,,3,,3,,Good analogies,Do YouTube videos for coding,The YouTube videos,No practice,No class atmosphere,No
1,,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,4,,3,,3,,2,,,,,,,
2,,3,,6,,6,,6,,6,,2,,2,,1,,2,,4,,4,,3,,3,,2,,,,,,,
2,,1,the later module we're hard to understand. Module 8 and so on. Complex material needs to be broken down more. Youtube videos with more complicated examples for those modules would be helpful.,2,,2,,1,,6,,2,,2,,1,,2,,4,,4,,2,,2,,2,,,Do more examples that are similar to assigment questions please,,,,
1,,3,,2,,2,,2,,3,,2,,2,,1,,2,,4,,4,,3,,2,,2,,,,Good course organization for each module,,,
2,,3,,2,,1,,1,,6,,2,,2,,1,,1,,4,,4,,3,,3,,2,,,,,,,
2,,3,,2,,2,,2,,6,,2,,2,,2,,2,,2,,4,,3,,3,,2,,The humour in your videos made it a lot more relatable/easier to learn.,Please have a transcript or actual written instructions along with the youtube videos. Sometimes it was really difficult to understand the concept without actually seeing it writing.,Videos added value to the content.,No transcript or written lectures? Powerpoint or PDF would be very helpful along with videos.,,
1,,3,,3,,1,,1,,3,,2,,2,,1,,1,,5,,5,,3,,3,,1,,"Great presentations, easy to understand lectures, made course content easy enough for beginners to understand",The latter parts of modules became more difficult from lack of clarity and examples.,Tough course made simple for beginners,Very dense information to learn in a short period of time,Online course so not much,ISA didn't help much in chat rooms; most didn't answer at all when i asked questions
3,,3,,3,,3,,,,,,2,,3,,1,,2,,2,,4,,5,,4,,1,,Great sense of humour,Transcript the videos so you can read instead of watching,It was on the computer.,No human interactions,No class.,Online course
2,,2,,2,,1,,2,,3,,2,,2,,1,,1,,2,,2,,1,,2,,2,,,,,,,
1,,3,,1,,1,,1,,2,,1,,1,,1,,1,,1,,4,,3,,2,,3,,"The instructions, notes, and videos were very informative and easy to follow.",I found no issue with any of it.,The excel portion was useful as I see myself using the knowledge I have gained through that in the real world.,"The website building just as it is not something that I will need, not that it was boring or anything.",No opinion. There wasn't any class interaction as this was an online course.,No opinion. There wasn't any class interaction as this was an online course.
1,,3,,2,,1,,1,,3,,2,,1,,1,,1,,2,,4,,3,,2,,1,,Great presentation of course materials,,Learned useful functions of excel and programming in HTML,Workload is somewhat much,No,N/A
1,,3,,1,,1,,1,,1,,2,,1,,1,,2,,4,,4,,3,,3,,2,,,,,,,
1,,3,,6,,1,,1,,6,,1,,1,,1,,1,,1,,5,,3,,3,,2,,I really loved the videos he posted because they were funny and entertaining while getting points across related to the course.,"I feel maybe perhaps when notes were given for a specific assignment, maybe more picture could have been added.",It was interesting! I learned many new things!,Some assignments could be a little tedious but I still enjoyed them.,"Since this was an online class, the class atmosphere were only present during videos which was always positive.",I loved this course.
1,,3,,1,,2,,1,,6,,2,,1,,1,,2,,2,,2,,3,,3,,2,,Came across very passionate about research[nl]Lectures were easy to follow,,I loved the 50 minute class time[nl]Professor was great,,I thought the class atmosphere was positively affected as the instructor seemed very passionate about research,Love the room
2,,3,,,,2,,2,,6,,1,,2,,1,"This was an online course, but I have watched all the videos if that counts as attending the lectures.",2,If anything the assignments taught us more than the videos. I found that a lot of the time what is required in the assignments wasn't even taught properly and you have to figure it out on your own.,1,,4,,3,,3,,1,,The course itself was very interesting and a great beginner course to learn about computer science.,I think there could be more direct relation between the module content and the assignments.,The written modules made it easy to understand the code and could focus on learning instead of taking notes on the videos.,Weak points would be having to teach assignment tasks to myself.,Online course.,Online course.
2,,3,,6,,3,,3,,6,,2,,2,,1,,2,,4,,4,,3,,3,,2,,Good video tutorials,For the last few units the lessons did not explain how to do the assignments,,,,
2,,2,,3,,2,,2,,3,,2,,2,,1,,2,,4,,4,,3,,3,,2,,,,,,,
2,,3,"some of the topics I wish were explained more, although I feel that the majority of the topics were aimed at a level that was just right.",,,2,,,,6,,2,,,,,,2,the quizzes were not very helpful but by completing assignments I gained a greater understanding of the course material.,,,4,,3,"the topic of excel was not very much new material, much was covered in grade 9 business that I took, but the website and survey making was a lot of new material, overall I think the material balanced out to just the right amount of new material to be learned.",3,,2,I spent time reviewing the notes and videos and working on assignments. The quizzes were quite short and did not require much time.,,,the assignments were very useful for learning the material.,,,
2,,2,,2,,3,,,,,,3,,6,,1,,2,,2,,4,,2,,3,,2,,,HTML documents to present the information are a little boring.,Learned a lot of basic computer skills,,,
1,,3,,2,,1,,1,,1,,2,,1,,1,,2,,4,,4,,3,,3,,2,,Great at explaining complex CS concepts with examples,,,,,
2,,2,"Some of the HTML content seemed over our heads, especially for students that had never been exposed to CS at all. I found that the modules weren't overly helpful in applying these topics either. Maybe you could scale it back a little, seeing as this is an introductory course.",4,"Instructor didn't really answer questions. It was TA's mainly, and sometimes they were very slow in replying.",2,,6,,6,,2,,2,,,,2,,2,,4,,2,,3,,2,,"Written modules and YouTube videos were helpful for the quizzes, but sometimes were not helpful for actually applying the theory in the practical assignments.",N/A,Organized,"We didn't receive any feedback on our assignments! A rubric would be posted, but it would be a lot more helpful for the TA's to fill out rubrics for each students assignments so we could see where we went wrong.",N/A,N/A
1,,3,,,,,,1,,6,,2,,1,,,,1,,,,,,3,,3,,1,,,,,,,
2,,3,,6,,6,,1,,6,,2,,2,,1,,5,,4,,4,,3,,3,,1,,,,,,,
1,,3,,2,,1,,1,,4,,2,,1,,,,2,,,,,,2,,3,,2,,Use of videos to explain concepts.,"If you could include videos as well as text explanations on a seperate page, it would be really beneficial.",variety of content,too much focus on excel.,this was an online class.,
1,,3,,6,,3,,2,,6,,2,,2,,1,,2,,4,,4,,3,,3,,2,,Engaging.,Using seperate videos are easier for review. Some modules was not separatef into a lot of videos.,Good pace for students who doesnt have experience in cs.,Excel portion doesn't feel useful.,N/A,N/S
