Timestamp,Question 0 (Organization),Question 0 Numerical,Question 0 Comment,Question 1 (Explanations),Question 1 Numerical,Question 1 Comment,Question 2 (Questions),Question 2 Numerical,Question 2 Comment,Question 3 (Visual Presentation),Question 3 Numerical,Question 3 Comment,Question 4 (Oral Presentation),Question 4 Numerical,Question 4 Comment,Question 5 (Availability),Question 5 Numerical,Question 5 Comment,Question 6 (Interest),Question 6 Numerical,Question 6 Comment,Question 7 (Effectiveness),Question 7 Numerical,Question 7 Comment,Question 8 (Attendance),Question 8 Numerical,Question 8 Comment,Question 9 (Assigned Work),Question 9 Numerical,Question 9 Comment,Question 10 (Printed Notes),Question 10 Numerical,Question 10 Comment,Question 11 (Textbook),Question 11 Numerical,Question 11 Comment,Question 12 (New Material),Question 12 Numerical,Question 12 Comment,Question 13 (Assigned Work Amount),Question 13 Numerical,Question 13 Comment,Question 14 (Hours Per Week),Question 14 Numerical,Question 14 Comment,Text Question 0 (What instructor has done well),Text Question 1 (Improvements to technique or style),Text Question 2 (Course's strong points),Text Question 3 (Course's weak points),Text Question 4 (Class atmosphere),Text Question 5 (Other Comments)
2016-07-13T15:26:34,Excellent,0,,Just Right,2,,Good,1,,Good,1,,Excellent,0,,I did not seek help,5,,Interesting,1,,Good,1,,90-100%,0,it was online. I completed all assignments.,Very helpful,0,,No printed notes,3,,No text required,3,,Okay,2,,Okay,2,,0-2 hours,0,,Constantly kept students updated with due dates.,Did not receive teaching from instructor's. Relied solely on online resources.,Learning about excel and html programming.,no comment.,Mostly worked independently.,No comment.
2016-07-13T21:51:18,Good,1,,Just Right,2,,Good,1,,,,,Good,1,,Often enough,2,,Interesting,1,,Satisfactory,2,,,,,Helpful,1,,Very helpful,0,,,,,Okay,2,,Okay,2,,,,,,,,,,
2016-07-13T21:58:17,Unsatisfactory,3,,Somewhat too high,1,,Unsatisfactory,3,,Unsatisfactory,3,,Satisfactory,2,,Often enough,2,,Interesting,1,,Unsatisfactory,3,,90-100%,0,,Helpful,1,,No printed notes,3,,No text required,3,,Somewhat too much,1,,Somewhat too much,1,,3-6 hours,1,,The videos were much better than the written content at the beginning of the class. However some of the questions required a lot of extra research outside of the lectures. The questions asked entailed information we did not learn. I don't think that is fair nor do I think it is worth the amount of money I had to pay for the course.,The Excel videos did not go into enough depth on the subject matter to complete the assignment. Perhaps providing additional links to external websites could help this void. I felt like I was caught in a wild goose chase looking for how to properly complete the assignment. This is not what I expect in a course I pay for. I expect to be taught the content. Instead I had to rely on Google.,,Very difficult assignment questions on content that was not taught in the modules.,,
2016-07-13T23:53:01,Good,1,,Just Right,2,,Good,1,,Satisfactory,2,,No opinion,5,,I did not seek help,5,,Interesting,1,,Satisfactory,2,,90-100%,0,,Helpful,1,,No printed notes,3,,No text required,3,,Okay,2,,Okay,2,,0-2 hours,0,,,,Course is organized clearly.,,,Liking the new video modules.
2016-07-14T01:20:34,Good,1,,Just Right,2,,No opinion,5,,Good,1,,No opinion,5,,I did not seek help,5,,Very interesting,0,,No opinion,5,,,,This is an online course.,Helpful,1,,Very helpful,0,,No text required,3,,Okay,2,,Okay,2,,0-2 hours,0,,I really enjoyed taking CS! I had very little background on this and found the course very interesting and not too easy nor hard. The posted notes are very helpful online and the assignments were not too hard to do. I really liked the last few modules where we learned from videos since I'm more of a visual learner. I think making videos would help students to learn.,"I would just change that alongside with the videos, include a few notes so that one wouldn't have to go back to the video and try to find the portion where something corresponds to.","Great notes, fair assignments.",,,I really enjoyed this course!
2016-07-14T01:37:44,Good,1,,Just Right,2,,Satisfactory,2,,Good,1,,Good,1,,Not often enough,3,,Interesting,1,,Good,1,,75-90%,1,,Helpful,1,,Not helpful,2,,No opinion,4,,Okay,2,,Okay,2,,3-6 hours,1,,,,,,,
2016-07-14T05:29:28,Excellent,0,,Just Right,2,,,,,Excellent,0,,Excellent,0,,I did not seek help,5,,Interesting,1,,Excellent,0,Dr. Tompkins is a very engaging and informative teacher.,< 25%,4,,Very helpful,0,,Very helpful,0,,No text required,3,,Okay,2,,Okay,2,,0-2 hours,0,,His lectures were excellent.,,Quizzes and assignments were well crafted.,,(it's online),(still online course)
2016-07-14T06:29:10,Good,1,,Just Right,2,,Good,1,,Good,1,,Good,1,,Often enough,2,,Interesting,1,,Good,1,,90-100%,0,,Helpful,1,,No printed notes,3,,No text required,3,,Okay,2,,Okay,2,,7-10 hours,2,,,,,,,
2016-07-14T07:30:08,Satisfactory,2,,Just Right,2,,Good,1,,Good,1,,Satisfactory,2,,I did not seek help,5,,Interesting,1,,Good,1,,90-100%,0,,Very helpful,0,,Helpful,1,,No text required,3,,Okay,2,,Okay,2,,3-6 hours,1,,Generally quick responses on the discussion boards!,The video lectures were great but have a hard copy of notes like we did in the beginning of the course was  much better.,covered a lot of material across different topics,sometimes very slow on posting the weeks content on learn holding people up. (maybe post all the weeks at the beginning of the course like some online courses do),no comment.,just check the content before posting to make sure it is correct for the current semester. (dates and such)
2016-07-14T07:36:33,Good,1,,Just Right,2,,Good,1,,Excellent,0,,Good,1,,Always,0,,Very interesting,0,,Good,1,,90-100%,0,,Helpful,1,,Helpful,1,,No text required,3,,Okay,2,,Okay,2,,3-6 hours,1,,Good content. Easy to follow.,"Could have combined video and text, however I understand based on lecture what needed to be done.","Lots of new things to learn, valuable information about software and computers",N/A,,
