mc_1,mcex_1,mc_2,mcex_2,mc_3,mcex_3,mc_4,mcex_4,mc_5,mcex_5,mc_6,mcex_6,mc_7,mcex_7,mc_8,mcex_8,mc_9,mcex_9,mc_10,mcex_10,mc_11,mcex_11,mc_12,mcex_12,mc_13,mcex_13,mc_14,mcex_14,mc_15,mcex_15,txt_1,txt_2,txt_3,txt_4,txt_5,txt_6
1,,3,,2,,2,,1,,6,,2,,2,,1,it was online. I completed all assignments.,1,,4,,4,,3,,3,,1,,Constantly kept students updated with due dates.,Did not receive teaching from instructor's. Relied solely on online resources.,Learning about excel and html programming.,no comment.,Mostly worked independently.,No comment.
2,,3,,2,,,,2,,3,,2,,3,,,,2,,1,,,,3,,3,,,,,,,,,
4,,2,,4,,4,,3,,3,,2,,4,,1,,2,,4,,4,,2,,2,,2,,The videos were much better than the written content at the beginning of the class. However some of the questions required a lot of extra research outside of the lectures. The questions asked entailed information we did not learn. I don't think that is fair nor do I think it is worth the amount of money I had to pay for the course.,The Excel videos did not go into enough depth on the subject matter to complete the assignment. Perhaps providing additional links to external websites could help this void. I felt like I was caught in a wild goose chase looking for how to properly complete the assignment. This is not what I expect in a course I pay for. I expect to be taught the content. Instead I had to rely on Google.,,Very difficult assignment questions on content that was not taught in the modules.,,
2,,3,,2,,3,,6,,6,,2,,3,,1,,2,,4,,4,,3,,3,,1,,,,Course is organized clearly.,,,Liking the new video modules.
2,,3,,6,,2,,6,,6,,1,,6,,,This is an online course.,2,,1,,4,,3,,3,,1,,I really enjoyed taking CS! I had very little background on this and found the course very interesting and not too easy nor hard. The posted notes are very helpful online and the assignments were not too hard to do. I really liked the last few modules where we learned from videos since I'm more of a visual learner. I think making videos would help students to learn.,"I would just change that alongside with the videos, include a few notes so that one wouldn't have to go back to the video and try to find the portion where something corresponds to.","Great notes, fair assignments.",,,I really enjoyed this course!
2,,3,,3,,2,,2,,4,,2,,2,,2,,2,,3,,5,,3,,3,,2,,,,,,,
1,,3,,,,1,,1,,6,,2,,1,Dr. Tompkins is a very engaging and informative teacher.,5,,1,,1,,4,,3,,3,,1,,His lectures were excellent.,,Quizzes and assignments were well crafted.,,(it's online),(still online course)
2,,3,,2,,2,,2,,3,,2,,2,,1,,2,,4,,4,,3,,3,,3,,,,,,,
3,,3,,2,,2,,3,,6,,2,,2,,1,,1,,2,,4,,3,,3,,2,,Generally quick responses on the discussion boards!,The video lectures were great but have a hard copy of notes like we did in the beginning of the course was  much better.,covered a lot of material across different topics,sometimes very slow on posting the weeks content on learn holding people up. (maybe post all the weeks at the beginning of the course like some online courses do),no comment.,just check the content before posting to make sure it is correct for the current semester. (dates and such)
2,,3,,2,,1,,2,,1,,1,,2,,1,,2,,2,,4,,3,,3,,2,,Good content. Easy to follow.,"Could have combined video and text, however I understand based on lecture what needed to be done.","Lots of new things to learn, valuable information about software and computers",N/A,,
