mc_1,mcex_1,mc_2,mcex_2,mc_3,mcex_3,mc_4,mcex_4,mc_5,mcex_5,mc_6,mcex_6,mc_7,mcex_7,mc_8,mcex_8,mc_9,mcex_9,mc_10,mcex_10,mc_11,mcex_11,mc_12,mcex_12,mc_13,mcex_13,mc_14,mcex_14,mc_15,mcex_15,txt_1,txt_2,txt_3,txt_4,txt_5,txt_6
1,,3,,1,,1,,1,,6,,2,,1,,1,,1,,2,,4,,3,,2,,3,,,,,,,
1,,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,3,,2,,3,,,,,,,
2,,3,,2,,2,,1,,2,,2,,1,,1,,1,,5,,5,,3,,2,,3,,Making personal examples to make course material relatable.,More tike spent on last few modules (ie. Efficiency and memory).,"Interesting,  big step into real world programming.",A lot of time spent on assignments.,Positively.,Small classes are helpful.
1,,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,3,,3,,2,,4,,,,,,,
1,,1,,1,,1,,1,,6,,1,,1,,1,,1,,5,,4,,3,,2,,2,,,,,,,gr8 m8 i r8 8/8
1,,3,,1,,1,,1,,1,,1,,1,,2,,1,,1,,5,,3,,2,,2,,,,,,,
1,,3,,1,,1,,1,,3,,1,,1,,1,,1,,1,,1,,3,,3,,4,,,,,,,
1,,3,,1,,1,,1,,6,,1,,1,,1,,1,,2,,5,,4,,3,,2,,I know Dave has probably received a million positive reviews in his time here so I will keep this brief. I thoroughly enjoyed having him as my professor.,,,"Honestly I felt that the pace was a bit too slow and the breadth could have been a bit wider. Also, I think assignments could have focused more on having fewer questions with more problem solving, Rather than more questions which had a lot of plug and chug",,
1,,3,,1,,1,,1,,6,,4,,1,,1,,1,,2,,4,,2,,2,,2,,Engaging. Made content easy to understand.,,"Assignments were very helpful in learning content, despite their general difficulty and length.",I wish there were more resources to help in preparing for midterms and finals. Marmoset sucks. Less rigid marking schemes for assignments would be nice.,,I liked that Dave spoke on a platform that raised him higher up. Made seeing him easier when sitting in the back.
1,,2,,1,,1,,1,,6,,2,,1,,1,,2,,2,,4,,3,,3,,3,,Dave is a fun instructor.  It feels more like a buddy that just knows more than us trying to help us all out instead of a stoic instructor feeding us course material.,don't get sick or food poisoning.,I learned a lot about memory use and run time which was nice to learn and know.,"I did not particularly enjoy or find use in the profound amounts of time analyzing stack frames.  Sea shell is pretty bad, and marmoset is also bad.","positively.  Dave is high energy and nice, which brightens everyone's day.",The room could have been better.
