Timestamp,Question 0 (Organization),Question 0 Numerical,Question 0 Comment,Question 1 (Explanations),Question 1 Numerical,Question 1 Comment,Question 2 (Questions),Question 2 Numerical,Question 2 Comment,Question 3 (Visual Presentation),Question 3 Numerical,Question 3 Comment,Question 4 (Oral Presentation),Question 4 Numerical,Question 4 Comment,Question 5 (Availability),Question 5 Numerical,Question 5 Comment,Question 6 (Interest),Question 6 Numerical,Question 6 Comment,Question 7 (Effectiveness),Question 7 Numerical,Question 7 Comment,Question 8 (Attendance),Question 8 Numerical,Question 8 Comment,Question 9 (Assigned Work),Question 9 Numerical,Question 9 Comment,Question 10 (Printed Notes),Question 10 Numerical,Question 10 Comment,Question 11 (Textbook),Question 11 Numerical,Question 11 Comment,Question 12 (New Material),Question 12 Numerical,Question 12 Comment,Question 13 (Assigned Work Amount),Question 13 Numerical,Question 13 Comment,Question 14 (Hours Per Week),Question 14 Numerical,Question 14 Comment,Text Question 0 (What instructor has done well),Text Question 1 (Improvements to technique or style),Text Question 2 (Course's strong points),Text Question 3 (Course's weak points),Text Question 4 (Class atmosphere),Text Question 5 (Other Comments)
2016-03-21T14:44:58,Good,1,,Somewhat too low,3,,Good,1,,Excellent,0,,Excellent,0,,I did not seek help,5,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,Not Helpful,2,,Somewhat too little,3,,Somewhat too much,1,,7-10 hours,2,,-Stepping through code on the board was very helpful,,,"-seashelll sucked. I have dual monitors and can't make use of them because of the interface. There should be an alternative method of completing assignments that students can use. Maybe introduce it on an optional office hour or something

-Add that peer code review/marking thing you talked about in class
-ensure homework is able to be completed without reading ahead
-post lecture slides 2 days before lectures so we have time to print it out",,
2016-03-21T15:58:47,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,I did not seek help,5,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,Very Helpful,0,,Okay,2,,Okay,2,,7-10 hours,2,,,,,,,
2016-03-21T19:45:51,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,I did not seek help,5,,Interesting,1,,Excellent,0,,90-100%,0,,Helpful,1,,Very helpful,0,,No opinion,4,,Okay,2,,Too much,0,,> 15 hours,4,,Too much for such a small space.,"I would appreciate it if he went through the thought process of solving more of the clicker questions, even if they seem obvious and everyone gets them right.",I liked the organization of slides (including higher level concepts and important points).,"1. I hate seashell.
2. What was assignment 9 even?
3. When Dave was sick.",Everyone is just happy to have Dave so the class atmosphere was positive.,We need a bigger class to hold all the people trying to get into Dave's section. Or maybe a smaller one to keep everyone else out.
2016-03-21T20:08:00,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,I did not seek help,5,,Interesting,1,,Excellent,0,,90-100%,0,,Helpful,1,,Very helpful,0,,No text required,3,,Okay,2,,Okay,2,,7-10 hours,2,,"Enthusiasm, presentation of information, oral communication","Visuals on the slides instead of drawing on the board, since most of us don't take notes down, don't draw on walls","Introduced a good amount of new concepts, good presentation of information, entertaining lectures","Pacing was slightly slow for me, probably about a good pace for the rest.","Positively/negatively: too much hype, sometimes chaotic to get in.",Spare seats would be nice since class sizes were packed
2016-03-21T21:12:04,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,I did not seek help,5,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,No printed notes,3,,No opinion,4,,Okay,2,,Okay,2,,11-15 hours,3,,"He's funny, and kept my attention even for the few times the material was a bit dull. He also did a lot of examples of going through code on the blackboard, and examples of writing/running code in Seashell itself.",,"It was a nice introduction to a new style of programming, and it was pretty interesting throughout.",,,
2016-03-22T11:46:01,Excellent,0,,Just Right,2,,Good,1,,Good,1,,Excellent,0,,I did not seek help,5,,Interesting,1,,Excellent,0,,90-100%,0,,Very helpful,0,,No opinion,4,,No opinion,4,,Okay,2,,Okay,2,,11-15 hours,3,,dave is amazing i wish he's the prof for all my courses,,,,amazing,
2016-03-22T11:51:43,Excellent,0,,Somewhat too low,3,,Excellent,0,,Excellent,0,,Excellent,0,,Always,0,,Interesting,1,,Excellent,0,,90-100%,0,,Very helpful,0,,No opinion,4,,Not Helpful,2,,Too little,4,,Okay,2,,7-10 hours,2,,"Excellent presentation, very engaging.  Well organized.",,C memory model,"Racket, using a functional language as an imperative one","Very quite classroom, positive when any mood could be observed",
2016-03-22T12:22:31,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,I did not seek help,5,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,No opinion,4,,No opinion,5,,Somewhat too little,3,,3-6 hours,1,,,,,,,
2016-03-22T13:51:35,Excellent,0,,Just Right,2,,Good,1,,Excellent,0,,Excellent,0,,I did not seek help,5,,Interesting,1,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,No opinion,4,,Okay,2,,Okay,2,,7-10 hours,2,,"Great job on keeping the class engaged! Explanations were also extremely clear, thank you for being so awesome! :)",,"Course notes were very comprehensive, assignments were challenging and helpful for understanding the concepts.","Timing of lecture material progress and assignment due dates: could not start early on them unless we read the slides in advance, which could be a bit difficult for those of us who learn better from lectures and hearing the concepts explained out loud. The Monday due date for the last three assignments makes a lot more sense timing-wise for me!",,
2016-03-22T15:45:13,Excellent,0,,Just Right,2,,Good,1,,Excellent,0,,Excellent,0,,Always,0,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,Very Helpful,0,,Somewhat too much,1,,Too much,0,"Assignments are too long, time consuming",> 15 hours,4,,,,,,,
2016-03-22T15:48:32,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,I did not seek help,5,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,No text required,3,,Okay,2,,Too much,0,,7-10 hours,2,,Everything!,no opinion,no opinion,no opinion,no opinion,no opinion
2016-03-22T16:47:40,Excellent,0,,Just Right,2,,Excellent,0,,Satisfactory,2,"Prof can try turn all the light on except for the light right above the blackboard in order for us to be able to see the blackboard and the projector at the same time. Since when the light right above the blackboard are on, it's really hard to see the contents on the projector.",Excellent,0,,I did not seek help,5,,Interesting,1,,Excellent,0,,90-100%,0,,Very helpful,0,,Helpful,1,,No opinion,4,,Okay,2,,Somewhat too much,1,,7-10 hours,2,,,,,,,
2016-03-22T17:14:00,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Often enough,2,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Not helpful,2,,No opinion,4,,Okay,2,,Somewhat too much,1,,7-10 hours,2,,,,,,,
2016-03-22T18:02:08,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,I did not seek help,5,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,No opinion,4,,No opinion,4,,Okay,2,,Okay,2,,7-10 hours,2,,"Class atmosphere is positive.
A lot of effort put into teaching.
Explanations were very clear and easy to understand.",Maybe a little more time on harder portions of the course (ex. pointers),Order in which materials were delivered made a lot of sense.,N/A,"Class atmosphere is positive as the instructor gave us opportunities to interact with fellow classmate.
Lots of people are raising questions.",A little too crowded sometimes.
2016-03-22T19:44:06,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Most of the time,1,,Interesting,1,,Excellent,0,,90-100%,0,,Helpful,1,,Helpful,1,,Helpful,1,,Okay,2,,Okay,2,,7-10 hours,2,,Incorporation of humour to keep the audience's attention,None,Introduction to C,Pointers,Nope,No comments
2016-03-22T21:46:37,Good,1,,Just Right,2,,Good,1,,Excellent,0,,Excellent,0,,I did not seek help,5,,Interesting,1,,Excellent,0,,90-100%,0,,Helpful,1,,Very helpful,0,,No text required,3,,Okay,2,,Somewhat too much,1,"Some of the assignments took a while, but they helped me understand the material more so that was okay.",> 15 hours,4,,Dave was a super engaging prof and I'm glad that I was able to be in his class. His explanations were really clear and helped me understand the content without being boring.,,The lecture notes were really clear and thorough.,,,
2016-03-23T00:09:12,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Always,0,,Very interesting,0,,Excellent,0,,90-100%,0,,Helpful,1,,Helpful,1,,No opinion,4,,Okay,2,,Okay,2,,3-6 hours,1,,Dave was the best! Fantastic explainer and made concepts very interesting and entertaining. It was a great experience to be in his section. :),,,,,
