Timestamp,Question 0 (Organization),Question 0 Numerical,Question 0 Comment,Question 1 (Coherent Expecations),Question 1 Numerical,Question 1 Comment,Question 2 (Assignment Use),Question 2 Numerical,Question 2 Comment,Question 3 (Assignment Value),Question 3 Numerical,Question 3 Comment,Question 4 (Feedback),Question 4 Numerical,Question 4 Comment,Question 5 (Technology Use),Question 5 Numerical,Question 5 Comment,Question 6 (Learning Climate),Question 6 Numerical,Question 6 Comment,Question 7 (Respect),Question 7 Numerical,Question 7 Comment,Question 8 (Explanations),Question 8 Numerical,Question 8 Comment,Question 9 (Helpfulness),Question 9 Numerical,Question 9 Comment,Question 10 (Course Overall),Question 10 Numerical,Question 10 Comment,Question 11 (Instructor Overall),Question 11 Numerical,Question 11 Comment,Question 12 (Expected Grade),Question 12 Numerical,Question 12 Comment,Question 13 (Required or Elective),Question 13 Numerical,Question 13 Comment,Question 14 (Hours of Work),Question 14 Numerical,Question 14 Comment,Text Question 0 (Course Strengths),Text Question 1 (Course Weaknesses),Text Question 2 (Improvements to be Made)
2016-03-21T00:53:52,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Neutral,2,,Agree,3,,Neutral,2,,70-80,3,,Required,0,,Much less than 10 hours,0,,that you have a week to complete assignments,some of the modules could have been explained a little more clearly,explain some of the modules a little better on how to do certain things.
2016-03-21T13:13:58,Agree,3,,Neutral,2,,Neutral,2,,Agree,3,,Disagree,1,,Agree,3,,Agree,3,,Agree,3,I answered this with the TAs as the instructors in mind; I never interacted with the professor.,Agree,3,I answered this with the TAs as the instructors in mind; I never interacted with the professor.,Strongly Agree,4,I answered this with the TAs as the instructors in mind; I never interacted with the professor.,Agree,3,,Agree,3,I answered this with the TAs as the instructors in mind; I never interacted with the professor.,,,,Elective,1,,Less than 10 hours,1,,,,"- Maybe use more live videos/tutorials on how to do apply concepts (like what was done with the Excel modules).
- Try to make the modules flow better
- Maybe record videos of the modules being lectured; just reading slides felt at times as if I was reading a random website on the topic (i.e. the sense of "" active learning"" wasn't there sometimes)."
2016-03-21T13:41:40,Agree,3,,Agree,3,,Strongly Agree,4,The quizzes were not as helpful as the assignments and the open ended ones were difficult.,Agree,3,,Disagree,1,I had to go out of my way to ask for feedback for quizzes instead of getting the feedback originally. It still was not very clear.,Strongly Agree,4,,Agree,3,,,,,Neutral,2,,,,,Agree,3,,Disagree,1,,80-90,4,,Elective,1,,Less than 10 hours,1,,"Real world application of CS, applicable skills for those not looking to code.",Lack of feedback on quizzes.,Have a concrete schedule and stick to it. Give assignments 2 weeks in advance but have them overlap (so people who have a busy week can still work on the assignments and get them all done)
2016-03-21T14:42:57,Agree,3,,Disagree,1,,Disagree,1,,Agree,3,,Neutral,2,,Disagree,1,,Disagree,1,,Neutral,2,,Neutral,2,,Neutral,2,,Agree,3,,Disagree,1,,Above 90,5,,Elective,1,,Less than 10 hours,1,,Interesting material,The assignments included questions and work that was never taught. The last few assignments were far too difficult compared to what was outlined in the lecture. I had to get a friend who is in 4th software engineering to help because nothing was explained well previously.,"There is no teaching, it's all online modules."
2016-03-21T14:47:30,Agree,3,,Agree,3,,Agree,3,,Strongly Agree,4,,Neutral,2,,Agree,3,,Agree,3,,,,,,,,,,,Strongly Agree,4,,Neutral,2,,80-90,4,,Elective,1,,Around 10 hours,2,,"No textbook, all info is available on learn - one location for everything.","Some of the assignments were repetitive (ie. making a webpage twice, making one would have sufficed)","Some assignments took much longer than others. Warning ahead of time about the length could have helped to time manage better. Some of the heavier assignments overlapped with midterms, would be better placed at beginning of course."
2016-03-21T16:13:34,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,80-90,4,,Elective,1,,Much less than 10 hours,0,,Very clear and helpful for students with little to no prior computing knowledge.,Still some grammatical errors in the slides.,"Overall, I think it is very well done."
2016-03-21T17:53:51,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Agree,3,,Neutral,2,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Above 90,5,,Required,0,,Much less than 10 hours,0,,The ability to explain and teach the material,Sometimes being unable to reach the TA on time,"Nothing, did an amazing job!"
2016-03-21T19:31:20,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Agree,3,,Agree,3,,Neutral,2,,,,,Strongly Agree,4,,Agree,3,,80-90,4,,Elective,1,,Much less than 10 hours,0,,Assignments,Some of the analogies used to explain concepts. Too confusing and convoluted!,Less memes and internet trends. Such cringe.
2016-03-22T11:34:51,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Above 90,5,,Elective,1,,Less than 10 hours,1,,teach useful basics of computer applications,,TAs need to be more professional when addressing questions
2016-03-22T12:24:11,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Neutral,2,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Above 90,5,,Elective,1,,Less than 10 hours,1,,The assignments were fun and I learned a lot,None to mention...,
