smc_1,smc_2,smc_3,smc_4,smc_5,smc_6,smc_7,smc_8,smc_9,smc_10,smc_11,smc_12,smc_13,smc_14,smc_15,txt_1,txt_2,txt_3
5,5,5,5,5,5,5,5,5,5,5,5,6,2,5,A lot of assignment,Assignments could be a little vague sometimes.,can teach how to code in C
38,29,28,37,14,43,24,18,16,20,38,15,24,30,62,a wide variety of help opportunities when needed,"Being an online course can be a positive or a negative thing depending on the person, but for me I think I would be more motivated if the material was taught in class, especially the first few units, even if it is one class per week.",change some of the content to make it more clear
64,64,67,72,52,61,66,54,63,48,65,48,62,94,29,"As a science major, I found these basic CS concepts to be very practical especially the excel formulas that were taught.","Covered too many topics in one week - did not get in depth
Some topics were unnecessary like TCP/IP",explain some of the modules a little better on how to do certain things.
14,22,21,13,33,13,23,30,28,30,12,30,29,,5,Assignments,"Difficulty of later modules. I had no prior knowledge, and was extreamly confused as modules got more complicated after module 7",Focus more on excel/word
5,5,7,1,21,4,6,3,8,1,7,12,5,,1,Assignments put learning objectives into perspective. Well laid out course.,Does not properly explain the basics of html need to google most things,"Get rid of the computer section.  If I want to take a computer course, I would have signed up for CS 115.  I wanted to learn more about Excel, and web page management.... you know, things that would be useful for getting a job.  Not sure why this is a difficult concept."
3,4,1,1,3,3,2,3,3,1,1,4,1,,0,Assignments that reflected the material being taught.,Don't offer so many late days without penalty.,Have a concrete schedule and stick to it. Give assignments 2 weeks in advance but have them overlap (so people who have a busy week can still work on the assignments and get them all done)
,,,,,,,,,,,,0,,,"Assignments to enhance the material 
Pictures to relate to the material",excel,Have questions that are easier to understand.
,,,,,,,,,,,,,,,"Assignments were relevant, multiple assistants available to help answer questions.","Harder concepts (such as networks, modems, etc) more difficult to understand",I don't know. I just do not think this course is for me. Thanks.
,,,,,,,,,,,,,,,basic CS - good introductory,"I took this course for a basic understanding in computer technology, and though I have learnt a lot, I think that a lot of the information provided in the modules assumes that students already have some understanding for the computer programs. I found especially with the excel modules, that this was true. I have a decent background with excel, however, some of the assignments and practice questions left unclear explanations and sometimes I didn't have any idea of what formula to use or what steps to take to figure it out. 
Not all the formulas were provided to us and it was extremely difficult to figure it out on my own. Some assignments (HTML) were not given feedback, and it would have been really helpful for the following assignments to know where you went wrong before so you can actually correct for your mistakes. Linking the .css and .html was very unclear.",i hope there is more examples and videos to help understand techniques.
,,,,,,,,,,,,,,,Basic understandings of computer functions.,"In terms of course content, I found most things to be useful, so not much weakness n the course.","I never really heard from the instructor. I understand there are TAs, but even with my previous online courses the instructors definitely made more of an appearance."
,,,,,,,,,,,,,,,Being able to learn HTML and CSS.,instructions needs to be clear,"I really like how the class is set up, with the late days, time to do each assignment, and assignments aren't too long or hard either. So personally, I think the course is fine as it is."
,,,,,,,,,,,,,,,Being online,Instructor availability on campus,"I think the only thing that could improve the teaching would be include more examples, for example the videos"
,,,,,,,,,,,,,,,coding instructing,Its online so it isn't the most engaging course and it requires you to be willing to put in the effort and teach yourself,I wish there were another excel module and we could have learned other things like pivot tables.
,,,,,,,,,,,,,,,"Content was presented in an easy to understand manner. Assignments were fair and helped me learn the content as I went along.

Use of LEARN discussion boards was helpful.",Lack of feedback on quizzes.,I would like a mixture of lectures and notes. Reading text off of a page is boring and makes it difficult to learn sometimes. I'd also like to see more examples in the excel section.
