mc_1,mcex_1,mc_2,mcex_2,mc_3,mcex_3,mc_4,mcex_4,mc_5,mcex_5,mc_6,mcex_6,mc_7,mcex_7,mc_8,mcex_8,mc_9,mcex_9,mc_10,mcex_10,mc_11,mcex_11,mc_12,mcex_12,mc_13,mcex_13,mc_14,mcex_14,mc_15,mcex_15,txt_1,txt_2,txt_3,txt_4,txt_5,txt_6
1,,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,2,,3,,,,,,,
2,,1,,2,,,,3,,3,,1,,2,,2,,1,,1,,2,,2,,1,,2,,,,,,,
2,,2,,3,,2,,2,,2,,2,,2,,1,,2,,2,,2,,1,,2,,3,,"Good analogies, humorous ","Clearly something is much harder than something else. For example, abstract list function is 10x more difficult simple recursion. However I feel like the amount of time spent on teaching them is the same ",Good introduction course to Cs ,"The last half of the course made me giving up Cs 136. Maybe because I am simply not smart enough, but everything just super hard suddenly ",Positive,Good 
1,,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,3,,3,,3,,The instructor was very engaging and had a very fun teaching style. He went in depth just the right amount with all of the topics and demonstrated how to apply the material into actual coding. ,"During the beginning, I found the speed of the class to be a bit too slow. Some of the earlier concepts could have been went through a bit faster and more examples could have been demonstrated.",The course really went over the basic foundation of coding and made me realize the importance of have organized and clean code. ,The course could go more in depth with some of the later sections such as abstract function classes and went less in depth with the more basic sections. ,Positively. The other students were all respectful to each other and concentrated on the class which created a positive learning atmosphere. ,The class size was just right. 
1,,3,,1,,1,,1,,2,,1,,1,,1,,2,,2,,3,,3,,3,,2,,Explanations and analogies were excellent.,Already really good.,"The fact that we start of in a language most people haven't done, therefore everyone is on a fairly level playing field.",2 classes a week didn't feel like enough; would have enjoyed more class time.,Overall positive.,"There were too many people for the size of the classroom, but the number of people total wasn't bad."
1,,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,3,,3,,5,,Excellent. Very engaging and inspiring. This is my first ever computer science course and Dave made it the best it could be. ,Spending more time on Lambda. ,Well structured,Some assignments are too hard.. E.G THE TRIE,It has a positive impact.,Class size can be smaller.
1,,3,,1,,1,,1,,2,,2,,1,,1,,1,,4,,1,,6,,3,,5,,,,,,,
1,,3,,1,,2,only focused on right side of room for slide screen,1,,2,,1,,1,,1,,1,,2,,4,,4,,3,,3,,I like the lightsaber[nl]I like the mood,"talked about katy perry too much, I like taylor swift more[nl]mutual recursion explanation was a bit cringy so i didn't grasp it as easily loool",fun learning fundamentals[nl]beginning assignments were too easy so I could focus on fully understanding,"maybe just the language, and hard to grasp the latter assignments, the rest of the stuff was cakes",no it's always great,"best class of 1A, always excited to enter the room. I loved watching kubo!!!!![nl][Verse 1][nl]My castle crumbled overnight[nl]I brought a knife to a gunfight[nl]They took the crown, but it's alright[nl]All the liars are calling me one[nl]Nobody's heard from me for months[nl]I'm doin' better than I ever was[nl]'Cause[nl][nl][Chorus][nl]My baby's fit like a daydream[nl]Walking with his head down[nl]I'm the one he's walking to[nl]So call it what you want, yeah[nl]Call it what you want to[nl]My baby's fly like a jet stream[nl]High above the whole scene[nl]Loves me like I'm brand new[nl]So call it what you want, yeah[nl]Call it what you want to[nl][nl][Verse 2][nl]All my flowers grew back as thorns[nl]Windows boarded up after the storm[nl]He built a fire just to keep me warm[nl]All the drama queens taking swings[nl]All the jokers dressing up as kings[nl]They fade to nothing when I look at him[nl]And I know I make the same mistakes every time[nl]Bridges burn, I never learn[nl]At least I did one thing right[nl]I did one thing right[nl]I'm laughing with my lover, makin' forts under covers[nl]Trust him like a brother[nl]Yeah, you know I did one thing right[nl]Starry eyes sparkin' up my darkest night[nl] [nl][nl][Chorus][nl]My baby's fit like a daydream[nl]Walking with his head down[nl]I'm the one he's walking to[nl]So call it what you want, yeah[nl]Call it what you want to[nl]My baby's fly like a jet stream[nl]High above the whole scene[nl]Loves me like I'm brand new[nl](Call it what you want, call it what you want, call it)[nl]So call it what you want, yeah[nl]Call it what you want to[nl][nl][Bridge][nl]I want to wear his initial on a chain round my neck[nl]Chain round my neck[nl]Not because he owns me[nl]But 'cause he really knows me[nl]Which is more than they can say, I...[nl]I recall late November[nl]Holdin' my breath, slowly I said[nl]""You don't need to save me[nl]But would you run away with me?""[nl]Yes (would you run away?)[nl][nl][Chorus][nl]My baby's fit like a daydream[nl]Walking with his head down[nl]I'm the one he's walking to[nl](Call it what you want, call it what you want, call it)[nl]So call it what you want, yeah[nl]Call it what you want to[nl]My baby's fly like a jet stream[nl]High above the whole scene[nl]Loves me like I'm brand new[nl](Call it what you want, call it what you want, call it)[nl]So call it what you want, yeah[nl]Call it what you want to[nl] [nl][nl][Outro][nl](Call it what you want, call it)[nl](Call it what you want, call it what you want, call it)[nl](Call it what you want, call it what you want, call it)[nl](Call it what you want, call it what you want, call it)[nl](Call it what you want, call it what you want, call it)[nl](Call it what you want, call it what you want, call it)[nl](Call it what you want, call it what you want, call it)[nl]Call it what you want, yeah[nl]Call it what you want to"
1,,3,,1,,1,I like that the blackboard is sometimes used to clearly go through steps of more complex problems. It compliments the use of slides /live coding nicely and explains concepts well.,1,,1,,1,,1,,1,,1,,1,,2,,3,,3,,4,,"I think the instructor has done a good job explaining the material to students. In particular, I appreciated certain analogies such as the ""clone"" for recursion because it made concepts significantly less abstract. I also liked the live coding because it gave me insight into how I should approach similar problems since we walked through the problem together.",I think the instructor did a perfect job teaching the course.,The strong points of the course were the interesting material covered and the assignments. I liked assignments because they got me to apply the concepts I learned about in lecture which benefited me on exams.,,The atmosphere of the class was overall very positive. There was no sort of discrimination. ,"Although this was my largest class, the noise level and ability to communicate with the instructor were both good so I would say the class size was suitable."
1,,3,,1,,1,,1,,1,,3,,1,,2,,1,,1,,4,,3,,3,,3,,,,,,,
