Response ID,Response Time,Q1: Respect,Q1 Select Index,Q1 Comment,Q2: Explanations,Q2 Select Index,Q2 Comment,Q3: Helpfulness,Q3 Select Index,Q3 Comment,Q4: Instructor Overall,Q4 Select Index,Q4 Comment,Q5: Organization,Q5 Select Index,Q5 Comment,Q6: Clear Expectations,Q6 Select Index,Q6 Comment,Q7: Content Usefulness,Q7 Select Index,Q7 Comment,Q8: Assignment Value,Q8 Select Index,Q8 Comment,Q9: Feedback,Q9 Select Index,Q9 Comment,Q10: Use of Technology,Q10 Select Index,Q10 Comment,Q11: Learning Climate,Q11 Select Index,Q11 Comment,Q12: Course Overall,Q12 Select Index,Q12 Comment,Q13: Expected Grade,Q13 Select Index,Q13 Comment,Q14: Required or Elective,Q14 Select Index,Q14 Comment,Q15: Workload,Q15 Select Index,Q15 Comment,Q16: Course Strengths,Q16 Select Index,Q16 Comment,Q17: Course Weaknesses,Q17 Select Index,Q17 Comment,Q18: Improvements to be Made,Q18 Select Index,Q18 Comment
351074,2017-11-30T02:05:24.627378,Agree,3,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Above 90,5,,Elective,1,,Much less than 10 hours,0,,,,light workload,,,no,,,I think this course is good. I cannot think of any.
325698,2017-11-23T23:40:38.595023,Strongly Agree,4,,Strongly Agree,4,,,,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,Some quiz questions are confusing and misleading,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,Love how the instructor used videos for demonstrating excel.,Strongly Agree,4,,Strongly Agree,4,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,Late days policy is amazing,,,Not sure how to study for the final exam,,,
323868,2017-11-23T19:03:10.320414,Agree,3,,Agree,3,,,,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Neutral,2,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,useful information that will transcend to other courses,,,a way to study for the exam not using a computer,,,it's good
355415,2017-11-30T21:17:30.377370,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Above 90,5,,Elective,1,,Much more than 10 hours,4,,,,The video tutorials,,,"The HTML portion, some students have never coded before and you ask a lot considering this. ",,,Split up HTML into 3 units instead of 2.
356119,2017-12-01T01:09:31.829490,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,,,,,,,
318662,2017-11-22T18:53:57.982942,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Disagree,1,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,its online so provides flexibility to do assignments when you want.,,,Not enough feedback for assignments.,,,Have more videos on examples about material being taught.
356006,2017-12-01T00:21:16.672509,Disagree,1,,Neutral,2,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,,,,Neutral,2,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,70-80,3,,Elective,1,,Less than 10 hours,1,,,,the video modules,,,the excel modules,,,
358867,2017-12-02T17:53:01.223827,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Above 90,5,,Elective,1,,Less than 10 hours,1,,,,,,,,,,
355258,2017-11-30T21:07:10.589526,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,80-90,4,,Elective,1,,Much less than 10 hours,0,,,,,,,,,,
359541,2017-12-03T17:59:36.524974,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,"Along with TAs, quickly responds to questions asked through LEARN or email",Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,Course material was presented in a great way - Recordings never felt too long or a drag (they were actually pretty fun to watch),,,Material on Excel isn't exactly challenging for anyone who has a basic understanding of the program (somewhat to be expected for this course though),,,Nothing significant. This was a pretty awesome course
