mc_1,mcex_1,mc_2,mcex_2,mc_3,mcex_3,mc_4,mcex_4,mc_5,mcex_5,mc_6,mcex_6,mc_7,mcex_7,mc_8,mcex_8,mc_9,mcex_9,mc_10,mcex_10,mc_11,mcex_11,mc_12,mcex_12,mc_13,mcex_13,mc_14,mcex_14,mc_15,mcex_15,txt_1,txt_2,txt_3
4,,4,,5,,5,,5,,5,,5,,5,,4,,5,,5,,5,,6,,2,,1,,light workload,no,I think this course is good. I cannot think of any.
5,,5,,,,5,,5,,4,Some quiz questions are confusing and misleading,5,,5,,4,,5,Love how the instructor used videos for demonstrating excel.,5,,5,,5,,2,,2,,Late days policy is amazing,Not sure how to study for the final exam,
4,,4,,,,5,,5,,4,,5,,5,,3,,5,,4,,5,,5,,2,,2,,useful information that will transcend to other courses,a way to study for the exam not using a computer,it's good
4,,4,,4,,4,,4,,3,,4,,4,,4,,4,,4,,4,,6,,2,,5,,The video tutorials,"The HTML portion, some students have never coded before and you ask a lot considering this. ",Split up HTML into 3 units instead of 2.
5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,2,,2,,,,
5,,5,,5,,4,,4,,4,,4,,4,,3,,4,,4,,2,,5,,2,,2,,its online so provides flexibility to do assignments when you want.,Not enough feedback for assignments.,Have more videos on examples about material being taught.
2,,3,,3,,4,,4,,4,,4,,,,3,,5,,4,,5,,4,,2,,2,,the video modules,the excel modules,
5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,6,,2,,2,,,,
4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,5,,2,,1,,,,
5,,5,,5,"Along with TAs, quickly responds to questions asked through LEARN or email",5,,5,,5,,5,,5,,5,,5,,5,,4,,5,,2,,2,,Course material was presented in a great way - Recordings never felt too long or a drag (they were actually pretty fun to watch),Material on Excel isn't exactly challenging for anyone who has a basic understanding of the program (somewhat to be expected for this course though),Nothing significant. This was a pretty awesome course
3,,3,,,,3,,3,,4,,4,,4,,4,,5,,4,,3,,4,,1,,2,,,,
3,,4,,3,,3,,4,,3,,3,,2,,3,,5,,3,,5,,6,,2,,3,,,Some of the assignments notably near the end take too long to complete ,Simplify the excel/html assignments and what is expected from us 
5,,5,The youtube videos were very detailed ,5,,5,"All the material was presented in a way that was easy to understand, especially for beginners who have never touched a computer science course before and had no background knowledge about excel or HTML coming into this course.",5,,5,marking followed exactly as in syllabus.,5,The quizzes summarized the main points of the modules.,5,"The assignments were a great way to understand how to use and apply the information learned in the modules, really helped with memorizing.",4,,5,,5,,5,,6,,2,,1,,"Very informative, can learn a great deal in very little time.",,
5,,4,,4,,4,,5,,5,,5,,4,,3,,4,,4,,4,,5,,2,,1,,,,
3,,5,,3,,3,,4,,5,,5,,5,,4,,5,,5,,5,,5,,2,,1,,,,
4,,4,,4,,4,,4,,5,,4,,4,,4,,5,,4,,4,,6,,2,,1,,,,
3,"Online course, never met course instructor ever, only heard him in lecture videos (I am assuming it was him).",4,,2,TAs helped students.,4,,4,,4,,4,,5,,2,,4,,4,,5,,5,,2,,3,,,,
4,,3,,3,,3,,3,,4,,4,,4,,3,,4,,3,,4,,5,,2,,2,,The application part of the weekly assignments ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,2,,2,,3,,,,
4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,2,,2,,,,
4,,4,,,,4,,4,,3,,4,,4,,3,,4,,4,,4,,,,2,,2,,,,
3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,6,,2,,4,,Layout and good instructors ,Not fully knowing how to do assignments ,
4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,5,,2,,2,,videos and lecture notes explained the content well. quizzes and assignments teach your knowledge well,markings of assignments take longer than expected,"Mark faster and for dropbox assignments, attach an answer key after the due date to help students understand their mistakes. Easier for students to study if they have access to their past quizzes and they can see what they got wrong."
4,,4,,5,,5,,5,,4,,4,,4,,4,,5,,4,,5,,5,,2,,3,,,,
4,,4,,,,4,,4,,4,,4,,4,,3,,4,,4,,4,,6,,2,,3,,,,
4,,4,,4,,4,,4,,4,,4,,4,,3,,4,,4,,4,,5,,2,,2,,,,
5,,4,,,,3,,4,,3,,4,,4,,4,,4,,4,,3,,6,,2,,3,,,,
3,,4,,3,,3,,4,,4,,4,,3,,3,,4,,3,,3,,4,,2,,1,,Informative,Presentation of material,N/A
4,,4,,3,,4,,4,,4,,4,,4,,3,,4,,4,,3,,4,,2,,2,,,,
3,,4,,3,,4,,4,,4,,4,,4,,3,,3,,4,,4,,5,,2,,2,,,,
4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,5,,1,,3,,,,
