Response ID,Response Time,Q1: Respect,Q1 Select Index,Q1 Comment,Q2: Explanations,Q2 Select Index,Q2 Comment,Q3: Helpfulness,Q3 Select Index,Q3 Comment,Q4: Instructor Overall,Q4 Select Index,Q4 Comment,Q5: Organization,Q5 Select Index,Q5 Comment,Q6: Clear Expectations,Q6 Select Index,Q6 Comment,Q7: Content Usefulness,Q7 Select Index,Q7 Comment,Q8: Assignment Value,Q8 Select Index,Q8 Comment,Q9: Feedback,Q9 Select Index,Q9 Comment,Q10: Use of Technology,Q10 Select Index,Q10 Comment,Q11: Learning Climate,Q11 Select Index,Q11 Comment,Q12: Course Overall,Q12 Select Index,Q12 Comment,Q13: Expected Grade,Q13 Select Index,Q13 Comment,Q14: Required or Elective,Q14 Select Index,Q14 Comment,Q15: Workload,Q15 Select Index,Q15 Comment,Q16: Course Strengths,Q16 Select Index,Q16 Comment,Q17: Course Weaknesses,Q17 Select Index,Q17 Comment,Q18: Improvements to be Made,Q18 Select Index,Q18 Comment
280446,2017-07-25T23:22:35,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Neutral,2,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,80-90,4,,Elective,1,,Much less than 10 hours,0,,,,This course acts as a great introductory courses for someone who has had minimal exposure to computers and computing.,,,I wish there was more relevant coding instruction.,,,
280445,2017-07-25T23:07:14,Agree,3,,Agree,3,,Agree,3,,Disagree,1,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Disagree,1,,Agree,3,,Neutral,2,,Disagree,1,,Above 90,5,,Elective,1,,Much less than 10 hours,0,,,,,,,,,,
280444,2017-07-25T22:33:34,Neutral,2,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Strongly Agree,4,,Neutral,2,,Agree,3,,Agree,3,,Strongly Agree,4,,80-90,4,,Elective,1,,Much less than 10 hours,0,,,,"- Youtube instructional videos
- Course content overall. Complicated concepts are explained well using metaphors and relatable examples.",,,"-Lack of instructor/TA interaction (which is understandable because it's an online course. When i struggled with concepts, I found it difficult trying to understand ideas through just email interaction. I would've attended in-person office hours if it did not conflict with other appointments in my schedule).
- The speech to text transcript that's uploaded with instruction videos has errors as some words are misinterpreted. 
- The rate at which we got assignment marks back. Marks for assignments and test would be given weeks after they were completed.",,,"- Marking assignments sooner. Personally, seeing my progress sooner helps encourage me in the class when completing tests and assignments."
280443,2017-07-25T17:30:56,Agree,3,,Strongly Agree,4,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,70-80,3,,Required,0,,Less than 10 hours,1,,,,,,,,,,
280442,2017-07-25T15:00:03,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Above 90,5,,Elective,1,,Less than 10 hours,1,,,,Good HTML and Excel application,,,Assignments take a long time to figure out how to do if not taught in modules,,,
280441,2017-07-25T13:58:17,Neutral,2,,Agree,3,,,,,Neutral,2,,Agree,3,,Agree,3,,Disagree,1,I found the assessments VERY out of touch with the content of the course.  While the material felt easy to understand and applicable the quizzes and especially the short answer questions felt far too in depth on things which hadn't been explained in the depth in which we were queried.  Especially since this is an online course asking students to state answers in their own words when there is little other to say apart from what is explicitly stated in the modules felt badly constructed and often resulted in frustrating results.,Disagree,1,"See the above comment on assignment contributions to my learning.  That said, the practical components as website construction and excel formatting were very helpful and were a fun exercise, unfortunately they made up far too little of the course.",Disagree,1,,Agree,3,,Disagree,1,,Agree,3,,Above 90,5,,Elective,1,,Less than 10 hours,1,,,,The practical assignments as website and quiz construction.,,,Question construction was often unclear.  In addition the short answer assignments which asked to elaborate on things which would have been better served by better designed multiple choice questions,,,Incorporating a greater amount of practical assignments as website construction and working with excel spreadsheets
280440,2017-07-25T13:08:11,Neutral,2,,Neutral,2,,Agree,3,,Neutral,2,,Strongly Agree,4,,Agree,3,,Agree,3,,Strongly Agree,4,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,80-90,4,,Elective,1,,More than 10 hours,3,,,,assignments,,,too much knowledge too little application,,,add less knowledge and more application as it is more important in cs to apply then just know (if you apply then you know)
280439,2017-07-25T11:07:35,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Neutral,2,,Strongly Agree,4,,Agree,3,,Agree,3,,80-90,4,,Elective,1,,More than 10 hours,3,,,,,,,,,,
280438,2017-07-24T17:38:16,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Agree,3,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,70-80,3,,Elective,1,,Much less than 10 hours,0,,,,,,,,,,
280437,2017-07-24T11:40:58,,,,Agree,3,,Neutral,2,,Neutral,2,,Strongly Agree,4,,Neutral,2,"While expectations were clear, level of familiarity felt a bit less so; a lot of the time I was stressing because I was not sure just how well I should understand particular things in a given module.",Agree,3,,Agree,3,,Strongly Disagree,0,"I almost never got marks back, and while the answers were helpful, I would really have appreciated a more personalized approach. I was flailing blindly and just hoping I was doing things right the entire time, with little to no idea if I was doing it right.",Strongly Agree,4,The videos were exceedingly helpful.,Neutral,2,,Agree,3,,60-70,2,,Required,0,,Around 10 hours,2,,,,"Good introduction, good mix of important stuff one might expect to deal with with regards to things in the course",,,The coding stuff could have used more video and visual stuff. Sometimes I got swamped in misc. issues that could have probably been explained a bit more easily.,,,"More personalized approach would be ideal,"
280436,2017-07-24T07:27:32,Neutral,2,,Neutral,2,,Neutral,2,,,,,Agree,3,,Neutral,2,,Agree,3,,Strongly Agree,4,,Strongly Disagree,0,,Strongly Agree,4,,Agree,3,,Agree,3,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,The weekly assignments.,,,Little to no feedback given on submitted work.,,,More TA's to aid with feedback process.
280435,2017-07-23T11:21:07,,,,,,,,,,,,,Agree,3,,Agree,3,,Agree,3,,Strongly Agree,4,,Disagree,1,,Agree,3,,Agree,3,,Neutral,2,,80-90,4,,Elective,1,,Much less than 10 hours,0,,,,,,,,,,
280434,2017-07-21T12:41:43,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,80-90,4,,Elective,1,,Around 10 hours,2,,,,I really liked the videos as a method of teaching. It helped me visualize the steps needed to complete assignments.,,,,,,"Maybe use videos as a method of teaching for the HTML, CSS, and dynamic web pages concepts. It will be better visually to see what each tag does or how it affects the document."
