mc_1,mcex_1,mc_2,mcex_2,mc_3,mcex_3,mc_4,mcex_4,mc_5,mcex_5,mc_6,mcex_6,mc_7,mcex_7,mc_8,mcex_8,mc_9,mcex_9,mc_10,mcex_10,mc_11,mcex_11,mc_12,mcex_12,mc_13,mcex_13,mc_14,mcex_14,mc_15,mcex_15,txt_1,txt_2,txt_3,txt_4,txt_5,txt_6
1,,1,,2,,1,,1,,1,,2,Adding more content would be nice. I agree it would be harder for a lot of other students but assignments weren't challenging,1,,1,,2,,4,,4,,4,,4,,2,,"The explanations were great. However as a lot of people point out, Dave spends a lot of time explaining the same concept. It might be a good thing, it might be a bad thing for some students.","Rather than going through the sides, practicing more code in class could help other students.",Good introductory course to low level programming.,,,The class location and class structure was disappointing. Please do not allocate this room for lectures where there are more than 50 people attending. 
1,,3,,1,,1,,1,,6,,1,,1,,1,,2,,2,,4,,3,,2,,5,,,,,,,
1,,3,,1,,1,,1,,2,,2,,1,,1,,1,,2,,4,,2,,2,,3,,Provide good examples using blocks.,So far it is good,no comments,no comments,no,The room is not suit for this course
2,,4,,1,,2,,2,,6,,1,,2,,1,,2,,,,,,3,,3,,3,,,,,,,
2,,3,,3,,3,,3,,2,,2,,3,,1,,2,,3,,3,,3,,2,,3,,did well in explaination the confused questions,provide more hints in assignment,to develop the logical ability,too many assignments,yes. i think that everyone in class is active.,
1,,3,,1,,2,,1,,2,,2,,1,,2,,3,,2,,3,,2,,2,,3,,Made it entertaining with corny jokes. Some were pretty funny though.,,,"It felt really rushed, especially towards the end.",Positive,class room was very not suitable for a cs class. very difficult to see the board sometimes
1,,3,,2,,1,,1,,1,,1,,1,,1,,1,,1,,4,,3,,2,,3,,,,,,,
5,,3,,2,,2,,2,,2,,2,,4,,2,,2,,2,,4,,3,,3,,3,,Good lectures,You could give more proper feedback rather than short and unhelpful comments.,Learned a lot,Not much,Good atmosphere,Everything is fine
1,,3,,2,,2,,2,,6,,1,,1,,2,,2,,2,,4,,1,,1,,3,,,,,the volume of assignments,,
2,,3,,1,,2,,1,,1,,1,,2,,1,,1,,2,,4,,3,,3,,2,,,"I felt the tutorials were really simple. The clicker questions were at the elementary especially since we would do harder clicker questions in class prior to the tutorials.[nl]I feel we can benefit from extra practice questions. When it comes time to study for exams, it's hard to just review assignments and practice from there since assignment questions require more time. ",,,,
