Response ID,Response Time,Q1: Organization,Q1 Select Index,Q1 Comment,Q2: Explanations,Q2 Select Index,Q2 Comment,Q3: Questions,Q3 Select Index,Q3 Comment,Q4: Visual Presentation,Q4 Select Index,Q4 Comment,Q5: Oral Presentation,Q5 Select Index,Q5 Comment,Q6: Availability,Q6 Select Index,Q6 Comment,Q7: Ability to hold Interest,Q7 Select Index,Q7 Comment,Q8: Effectiveness,Q8 Select Index,Q8 Comment,Q9: Attendance,Q9 Select Index,Q9 Comment,Q10: Assigned Work,Q10 Select Index,Q10 Comment,Q11: Printed Notes,Q11 Select Index,Q11 Comment,Q12: Textbook,Q12 Select Index,Q12 Comment,Q13: New Material,Q13 Select Index,Q13 Comment,Q14: Assigned Work Amount,Q14 Select Index,Q14 Comment,Q15: Hours Per Week,Q15 Select Index,Q15 Comment,Q16: What instructor has done well,Q16 Select Index,Q16 Comment,Q17: Improvements to technique or style,Q17 Select Index,Q17 Comment,Q18: Course's strong points,Q18 Select Index,Q18 Comment,Q19: Course's weak points,Q19 Select Index,Q19 Comment,Q20: Class atmosphere,Q20 Select Index,Q20 Comment,Q21: Other Comments,Q21 Select Index,Q21 Comment
444332,2018-07-18T17:58:23.888962,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Available,0,,Interesting,1,,Excellent,0,,90-100%,0,,Very helpful,0,,No printed notes,3,,Very helpful,0,,Somewhat too much,1,,Somewhat too much,1,,7-10 hours,2,,,,,,,,,,,,,,,,,,,
451588,2018-07-24T18:17:09.000773,Good,1,,Somewhat too high,1,,Good,1,,Excellent,0,,Excellent,0,,Sometimes available,2,,Interesting,1,,Excellent,0,,90-100%,0,,Helpful,1,,Helpful,1,,No text required,3,,Somewhat too much,1,,Somewhat too much,1,,11-15 houts,3,,,,Great sense of humor; interesting examples ,,,More choices of the movie at the beginning of the lectures,,,Well organized; experienced instructors ,,,too fast to understand all the materials sometimes,,,,,,
443819,2018-07-18T16:18:15.537454,Excellent,0,,Just Right,2,,Good,1,,Good,1,,Excellent,0,,Available,0,,Very interesting,0,,Excellent,0,,50-75%,2,,Helpful,1,,Helpful,1,,Helpful,1,,Right amount,2,,Right amount,2,,11-15 houts,3,,,,the metaphors are interesting and easy to remember.,,,,,,,,,,,,,,,
451585,2018-07-24T18:14:54.687666,Good,1,,Somewhat too high,1,,Good,1,,Good,1,,Good,1,,Did not seek help,5,,No opinion,3,,Good,1,,90-100%,0,,Helpful,1,,Helpful,1,,Helpful,1,,Too little,4,,Too little,4,,0-2 hours,0,,,,,,,,,,,,,,,,,,,
445070,2018-07-18T22:09:32.502856,No opinion,5,Didnt go they are a waste of time so it doesnt matter how coherent they are.,Too low,4,,Good,1,,Good,1,,Good,1,,Available,0,,Not interesting,2,,Good,1,,<25%,4,,Not helpful,2,,Helpful,1,,Not helpful,2,,Too little,4,,Somewhat too much,1,,3-6 hours,1,,,,Funny prof makes lectures fun (I didnt go to any tho).,,,N/A,,,The hardest part about this course is being interested in the boring ass content the course provides.,,,It's boring. It's too easy (if you put in any effort whatsoever) and too much of the work is in the last 2 weeks assignments 9 and 10 take significantly longer than any of the other assignments.,,,"gender, race and appearance don't matter.",,,Course is way easier in the summer.
440682,2018-07-16T20:33:11.872624,Excellent,0,,Just Right,2,,Excellent,0,,Good,1,,Excellent,0,,Available,0,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,Very helpful,0,,Right amount,2,,Right amount,2,,11-15 houts,3,,,,"explanation of every concepts, especially the hard one",,,i really think everything is good,,,"Intuitive, interesting",,,nothing,,,everything is excellent,,,students in the back of classroom may not see the screen clearly
441383,2018-07-17T16:04:02.162699,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Available,0,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,Very helpful,0,,Right amount,2,,Right amount,2,,11-15 houts,3,,,,,,,,,,,,,,,,,,,
447223,2018-07-20T14:34:29.995591,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Available,0,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,Very helpful,0,,Right amount,2,,Right amount,2,,3-6 hours,1,I found that I didn’t need to spend a lot of time before the last three weeks. The last three sections require extra hours.,,,"I took CS136 a couple of semesters ago and dropped after the midterm. The course content has been changed a bit, it now has minimal Racket and is much easier to understand. Last time I didn’t go to any classes and this time I didn’t miss any. Dave really explains everything well. ",,,,,,,,,,,,"The class atmosphere is great, actually look forward to going to class. ",,,
441203,2018-07-17T14:24:21.404289,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Usually available,1,,Interesting,1,,Excellent,0,,90-100%,0,,Very helpful,0,,No printed notes,3,,No text required,3,,Right amount,2,,Right amount,2,,11-15 houts,3,,,,"It is easy to understand the concepts that were explained by the instructor. The class is interested, and the setting of assignment is pretty helpful for understanding the concepts",,,,,,Can really learn the things about the big idea of the programming works,,,,,,"the class atmosphere is positively affected by the attitudes of the instructors. Firstly, the instructor is humor. Secondly, he usually asks students to get feedback about the assignment, and exam. He encourages discussion during the class.",,,MC might have the better room for this course.
444236,2018-07-18T17:27:57.154113,Good,1,,Too low,4,,Unsatisfactory,3,,Good,1,,Unsatisfactory,3,,Did not seek help,5,,Interesting,1,,Unsatisfactory,3,,75-90%,1,,Very helpful,0,,Very helpful,0,,Not helpful,2,Textbook made content more confusing and the course would be better off without a required textbook,Right amount,2,,Right amount,2,,3-6 hours,1,,,,,,,"The movie played at the beginning of each lecture is very annoying/loud, especially because the instructor shuts down any conversation before class starts. ",,,"The assignments are very effective and force understanding of the material. 
The tutorials are very helpful in understanding the material.",,,"The extreme attention to detail that a basic IDE would catch (e.g. missing semicolon, “#include <stdio.h>”, etc. [using e.g. with etc. -2 marks]) rather than demonstrating understanding of the concepts. It’s almost as if I could get negative marks for making too many small mistakes even if the idea of the code works (on a midterm) [missing period -1 mark]

(If this was an English course, they [“they” not initialized -2 marks] give you more marks for grammar/punctuation than the true [did not include <bool.h> -2 marks] content of your writing. 
[expected “)” -1 marks]",,,,,,Movies are too loud. 
