mc_1,mcex_1,mc_2,mcex_2,mc_3,mcex_3,mc_4,mcex_4,mc_5,mcex_5,mc_6,mcex_6,mc_7,mcex_7,mc_8,mcex_8,mc_9,mcex_9,mc_10,mcex_10,mc_11,mcex_11,mc_12,mcex_12,mc_13,mcex_13,mc_14,mcex_14,mc_15,mcex_15,txt_1,txt_2,txt_3,txt_4,txt_5,txt_6
1,,3,,1,,1,,1,,1,,2,,1,,1,,1,,4,,1,,2,,2,,3,,,,,,,
2,,2,,2,,1,,1,,3,,2,,1,,1,,2,,2,,4,,2,,2,,4,,Great sense of humor; interesting examples ,More choices of the movie at the beginning of the lectures,Well organized; experienced instructors ,too fast to understand all the materials sometimes,,
1,,3,,2,,2,,1,,1,,1,,1,,3,,2,,2,,2,,3,,3,,4,,the metaphors are interesting and easy to remember.,,,,,
2,,2,,2,,2,,2,,6,,4,,2,,1,,2,,2,,2,,5,,5,,1,,,,,,,
6,Didnt go they are a waste of time so it doesnt matter how coherent they are.,5,,2,,2,,2,,1,,3,,2,,5,,3,,2,,3,,5,,2,,2,,Funny prof makes lectures fun (I didnt go to any tho).,N/A,The hardest part about this course is being interested in the boring ass content the course provides.,It's boring. It's too easy (if you put in any effort whatsoever) and too much of the work is in the last 2 weeks assignments 9 and 10 take significantly longer than any of the other assignments.,"gender, race and appearance don't matter.",Course is way easier in the summer.
1,,3,,1,,2,,1,,1,,1,,1,,1,,1,,1,,1,,3,,3,,4,,"explanation of every concepts, especially the hard one",i really think everything is good,"Intuitive, interesting",nothing,everything is excellent,students in the back of classroom may not see the screen clearly
1,,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,3,,3,,4,,,,,,,
1,,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,3,,3,,2,I found that I didn’t need to spend a lot of time before the last three weeks. The last three sections require extra hours.,"I took CS136 a couple of semesters ago and dropped after the midterm. The course content has been changed a bit, it now has minimal Racket and is much easier to understand. Last time I didn’t go to any classes and this time I didn’t miss any. Dave really explains everything well. ",,,,"The class atmosphere is great, actually look forward to going to class. ",
1,,3,,1,,1,,1,,2,,2,,1,,1,,1,,4,,4,,3,,3,,4,,"It is easy to understand the concepts that were explained by the instructor. The class is interested, and the setting of assignment is pretty helpful for understanding the concepts",,Can really learn the things about the big idea of the programming works,,"the class atmosphere is positively affected by the attitudes of the instructors. Firstly, the instructor is humor. Secondly, he usually asks students to get feedback about the assignment, and exam. He encourages discussion during the class.",MC might have the better room for this course.
2,,5,,4,,2,,4,,6,,2,,4,,2,,1,,1,,3,Textbook made content more confusing and the course would be better off without a required textbook,3,,3,,2,,,"The movie played at the beginning of each lecture is very annoying/loud, especially because the instructor shuts down any conversation before class starts. ",The assignments are very effective and force understanding of the material. [nl]The tutorials are very helpful in understanding the material.,"The extreme attention to detail that a basic IDE would catch (e.g. missing semicolon, “#include <stdio.h>”, etc. [using e.g. with etc. -2 marks]) rather than demonstrating understanding of the concepts. It’s almost as if I could get negative marks for making too many small mistakes even if the idea of the code works (on a midterm) [missing period -1 mark][nl][nl](If this was an English course, they [“they” not initialized -2 marks] give you more marks for grammar/punctuation than the true [did not include <bool.h> -2 marks] content of your writing. [nl][expected “)” -1 marks]",,Movies are too loud. 
