Response ID,Response Time,Q1: Organization,Q1 Select Index,Q1 Comment,Q2: Explanations,Q2 Select Index,Q2 Comment,Q3: Questions,Q3 Select Index,Q3 Comment,Q4: Visual Presentation,Q4 Select Index,Q4 Comment,Q5: Oral Presentation,Q5 Select Index,Q5 Comment,Q6: Availability,Q6 Select Index,Q6 Comment,Q7: Ability to hold Interest,Q7 Select Index,Q7 Comment,Q8: Effectiveness,Q8 Select Index,Q8 Comment,Q9: Attendance,Q9 Select Index,Q9 Comment,Q10: Assigned Work,Q10 Select Index,Q10 Comment,Q11: Printed Notes,Q11 Select Index,Q11 Comment,Q12: Textbook,Q12 Select Index,Q12 Comment,Q13: New Material,Q13 Select Index,Q13 Comment,Q14: Assigned Work Amount,Q14 Select Index,Q14 Comment,Q15: Hours Per Week,Q15 Select Index,Q15 Comment,Q16: What instructor has done well,Q16 Select Index,Q16 Comment,Q17: Improvements to technique or style,Q17 Select Index,Q17 Comment,Q18: Course's strong points,Q18 Select Index,Q18 Comment,Q19: Course's weak points,Q19 Select Index,Q19 Comment,Q20: Class atmosphere,Q20 Select Index,Q20 Comment,Q21: Other Comments,Q21 Select Index,Q21 Comment
657804,2019-11-23T17:38:56.485352,Excellent,0,,Just Right,2,,Excellent,0,,Good,1,,Good,1,,Available,0,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,No text required,3,,Right amount,2,,Right amount,2,,7-10 hours,2,,,,,,,,,,,,,,,,,,,
664623,2019-11-26T16:34:18.435654,Excellent,0,,Somewhat too high,1,,Excellent,0,,Excellent,0,,Excellent,0,,Available,0,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,Helpful,1,,Somewhat too much,1,,Somewhat too much,1,,11-15 houts,3,,,,,,,,,,,,,,,,,,,
688124,2019-12-01T20:23:06.823710,Good,1,,Somewhat too high,1,,Excellent,0,,Excellent,0,,Excellent,0,,Available,0,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Helpful,1,,Not helpful,2,,Right amount,2,,Too much,0,,> 15 hours,4,,,,,,,,,,,,,,,,,,,
687432,2019-11-30T23:21:29.824308,Excellent,0,,Just Right,2,,Good,1,,Good,1,,Good,1,,Did not seek help,5,,Interesting,1,,Good,1,,90-100%,0,,Very helpful,0,,Helpful,1,"not up to date though, prof keep changing content makes it hard to follow",No text required,3,,Somewhat too much,1,,Somewhat too much,1,,11-15 houts,3,,,,"engaging, fun",,,,,,useful in learning the intro to computer science,,,"really heavy towards the end of the term, longer assignments during busier times",,,,,,
679064,2019-11-28T16:36:30.053429,Excellent,0,,Just Right,2,,Excellent,0,,Good,1,,Good,1,,Usually available,1,,Very interesting,0,,Good,1,,75-90%,1,,Very helpful,0,,No printed notes,3,,No text required,3,,Somewhat too much,1,,Too much,0,,11-15 houts,3,,,,,,,,,,,,,,,,,,,
678490,2019-11-28T15:56:31.478227,Unsatisfactory,3,,Somewhat too low,3,,Unsatisfactory,3,,Satisfactory,2,,Satisfactory,2,,Did not seek help,5,,Interesting,1,,Satisfactory,2,,90-100%,0,,Helpful,1,,Helpful,1,,No text required,3,,Right amount,2,,Right amount,2,,> 15 hours,4,More like 30 hours on some assignments,,,He's funny i guess,,,"Sometimes when asking dave questions, he made me feel dumb. He could show more patience and willingness to help :) ",,,Intro to elementary data structs,,,Wording and construction of midterm,,,"Dave was funny but when students asked him questions in class he was quick to call them out on not paying attention on a previous slide, even when the student might be asking for clarification. ",,,WHY ARE THE CURTAINS NEVER OPEN ITS SO DARK AND HUMID 
694493,2019-12-03T16:37:57.160647,Good,1,,Somewhat too high,1,,Excellent,0,,Excellent,0,,Good,1,,Usually available,1,,Interesting,1,,Good,1,,90-100%,0,,Helpful,1,,Helpful,1,,Helpful,1,,Somewhat too much,1,,Somewhat too much,1,,> 15 hours,4,,,,,,,More TA during lab hours or more lab hours,,,,,,,,,,,,
693818,2019-12-03T15:08:07.580428,Good,1,,Somewhat too high,1,,Good,1,,Excellent,0,,Excellent,0,,Usually available,1,,Interesting,1,,Good,1,,90-100%,0,,Very helpful,0,,Very helpful,0,,No text required,3,,Somewhat too much,1,,Somewhat too much,1,,7-10 hours,2,,,,,,,,,,,,,,,,,,,
694688,2019-12-03T17:08:40.533950,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Available,0,,Interesting,1,,Excellent,0,,90-100%,0,,Very helpful,0,,Helpful,1,,No text required,3,,Right amount,2,,Right amount,2,,11-15 houts,3,,,,,,,,,,,,,,,,,,,
671756,2019-11-27T17:01:42.454726,Excellent,0,,Somewhat too low,3,,Good,1,,Good,1,,Excellent,0,,Available,0,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,,,,Right amount,2,,Somewhat too much,1,,11-15 houts,3,,,,"Very engaging lectures, provides content (for the most part) at a very good pace, good humour to keep class engaged ",,,Sometimes the humour can be a bit distracting (but overally mostly a positive). Also sometimes class discussion goes on for too long and cuts into lecture time a bit too much.,,,"A lot of content was learned, and assignments thoroughly test understanding of the concepts. ",,,Assignments were very long but also necessary to really teach the content. Would be nice if there was something like lowest assignment dropped. ,,,,,,
