mc_1,mcex_1,mc_2,mcex_2,mc_3,mcex_3,mc_4,mcex_4,mc_5,mcex_5,mc_6,mcex_6,mc_7,mcex_7,mc_8,mcex_8,mc_9,mcex_9,mc_10,mcex_10,mc_11,mcex_11,mc_12,mcex_12,mc_13,mcex_13,mc_14,mcex_14,mc_15,mcex_15,txt_1,txt_2,txt_3
5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,2,,2,,,,
4,,4,,4,,5,,4,,4,,4,,4,,4,,4,,4,,4,,5,,2,,2,,,,
4,,4,,3,,4,,4,,3,,3,,4,,1,"Never got any feedback, don't even know what we do wrong in the assignments/quizzes",4,,4,,3,,5,,2,,2,,The organization of course material,Communication with the students and feedback,Send out more emails so the students who are not always logged into learn can know about things such as early assignment due dates. Also create a way for students to see what they have done wrong on quizzes without having to ask a TA
1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,5,,,,
,,5,,3,,4,,5,,4,,5,,4,,4,,5,,4,,5,,4,,2,,2,,,,
5,,5,,,,4,,5,,4,,5,,5,,3,,5,,5,,4,,5,,2,,1,,,,
3,,3,,4,,4,,4,,2,,4,,4,,2,,5,,4,,4,,4,,2,,4,,Help on common errors [nl]Assignments are application based which is great for learning ,"Questions in quizzes are too technical[nl]Quizzes are difficult [nl]Some transcripts especially for boolean  and hexadecimal conversions are hard to follow, have to watch video. Video isn't the bests.[nl][nl]The worst thing is assignments are released at particular times. It would be better for schedule basis if they were released earlier for those who want to get a head start. It's hard to do the assignments when they are in a window. ",Update transcripts for those who prefer reading
4,,3,,5,,4,,3,,5,,4,,4,,4,,4,,4,,4,,5,,2,,3,,practical assignments where one needs to work with relavent softwares and codeing languages.,Lack of video/audio lectures for an online course. Text information was vary dry and unmotivating to focus on. It felt like the qualiy of the modules dropped further into the semester. (perhaps around when the penalty for dropping the course becomes worse),I think the course content can be improved. More video lectures and use of image on the text content. I think free online courses are more engaging in this aspect. I don't think this whould be the case for a university course where one does not feel comfortable dropping a course half way through the semester.
4,,4,,4,,4,,4,,4,,4,,4,,4,,5,,4,,4,,4,,1,,3,,"the videos were awesome, and having the transcripts available helped a lot as well. This really catered to various types of learning. ","this course is very heavy, some of the assignments took hours to complete regardless of the topic. Compared to my other online courses I had to work extra hard in this one to succeed. ",
4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,5,,2,,3,,,,
4,,4,,3,,4,,4,,3,,4,,4,,3,,3,,4,,4,,,,1,,2,,"Interesting, relevant material, usually presented in a way that is easy to understand. Transcripts provided for videos were extremely helpful for note-taking","Long videos can be a bit boring and dry, and can be hard to take notes from.",
3,,4,could have added more relevant examples related to the assignment objectives,2,Never assisted with helping students,2,,4,,4,,4,,4,,1,there was no feedback given. you were just provided with a mark for each section and no reason for why you got those marks wrong.,4,,3,,3,,5,,2,,2,,it's online,"ISAs do not reply to questions in a timely manner, don't often answer all your questions and said ""office chat hours"" were not true. My questions were not answered when I tried asking during that hour. As well, many students who take cs100 online are often on coop terms and therefore only have time to work on these assignments during weekends which ISAs do not reply to emails. Sometimes things we are stuck on leads to another part in the assignment which we cannot complete until we have our question answered and assignments are due on monday nights. however, again, if on coop, we can only finish the assignment after having the response and during after work hours. TAs from other classes I have previously taken were able to reply to questions in a timely manner. ",was mentioned in the weakness section. 
4,,3,,5,,3,,4,,4,,4,,4,,4,,4,,3,,4,,4,,2,,4,,Good content,It's online,Make it an on campus course rather than online 
4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,5,,2,,2,,the videos ,sometimes the transcripts were not extremely clear,"instead of supplying transcripts to videos, there should instead be notes"
5,,4,,4,,4,,5,,5,,4,,4,,4,,5,,4,,5,,5,,2,,2,,The videos are easy to follow along. The examples used were good for students who have no previous experience/knowledge of computer science. ,"Some concepts are purely explained with examples, which were hard to apply when we had to answer the questions in our own words for the quizzes.","For some concepts, maybe try to give more concrete explanations rather than using examples so it is easier for students to apply the knowledge. However, the examples are still extremely useful."
,,5,,4,,5,,5,,5,,5,,5,,3,,5,,5,,5,,6,,2,,2,,"Useful with practical, real-life applications.",,
3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,4,,2,,3,,,,
4,,5,,4,,4,,5,,5,,4,,4,,3,,4,,4,,4,,5,,2,,3,,,,
4,,4,,3,,4,,4,,5,,4,,4,,2,,4,,4,,4,,5,,2,,2,,- weekly assignments helps students stay on top of course content,- lack of feedback at times,
