Timestamp,Question 0 (Organization),Question 0 Numerical,Question 0 Comment,Question 1 (Explanations),Question 1 Numerical,Question 1 Comment,Question 2 (Questions),Question 2 Numerical,Question 2 Comment,Question 3 (Visual Presentation),Question 3 Numerical,Question 3 Comment,Question 4 (Oral Presentation),Question 4 Numerical,Question 4 Comment,Question 5 (Availability),Question 5 Numerical,Question 5 Comment,Question 6 (Interest),Question 6 Numerical,Question 6 Comment,Question 7 (Effectiveness),Question 7 Numerical,Question 7 Comment,Question 8 (Attendance),Question 8 Numerical,Question 8 Comment,Question 9 (Assigned Work),Question 9 Numerical,Question 9 Comment,Question 10 (Printed Notes),Question 10 Numerical,Question 10 Comment,Question 11 (Textbook),Question 11 Numerical,Question 11 Comment,Question 12 (New Material),Question 12 Numerical,Question 12 Comment,Question 13 (Assigned Work Amount),Question 13 Numerical,Question 13 Comment,Question 14 (Hours Per Week),Question 14 Numerical,Question 14 Comment,Text Question 0 (What instructor has done well),Text Question 1 (Improvements to technique or style),Text Question 2 (Course's strong points),Text Question 3 (Course's weak points),Text Question 4 (Class atmosphere),Text Question 5 (Other Comments)
2016-03-21T12:46:16,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,I did not seek help,5,,Interesting,1,,Excellent,0,,90-100%,0,,Very helpful,0,,Helpful,1,,No text required,3,,Okay,2,,Somewhat too much,1,,7-10 hours,2,,,,,,,
2016-03-21T13:42:32,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Always,0,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,Helpful,1,,Okay,2,,Somewhat too much,1,,7-10 hours,2,,,,,,,
2016-03-21T14:42:44,Good,1,,Just Right,2,,Good,1,,Good,1,,Excellent,0,,Most of the time,1,,Interesting,1,,Excellent,0,,90-100%,0,,Very helpful,0,,No opinion,4,,No opinion,4,,Okay,2,,Somewhat too much,1,,7-10 hours,2,,Making personal examples to make course material relatable.,More tike spent on last few modules (ie. Efficiency and memory).,"Interesting,  big step into real world programming.",A lot of time spent on assignments.,Positively.,Small classes are helpful.
2016-03-21T15:30:37,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Always,0,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,Not Helpful,2,,Okay,2,,Somewhat too much,1,,11-15 hours,3,,,,,,,
2016-03-21T15:32:34,Excellent,0,,Too high,0,,Excellent,0,,Excellent,0,,Excellent,0,,I did not seek help,5,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,No opinion,4,,No text required,3,,Okay,2,,Somewhat too much,1,,3-6 hours,1,,,,,,,gr8 m8 i r8 8/8
2016-03-21T15:43:46,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Always,0,,Very interesting,0,,Excellent,0,,75-90%,1,,Very helpful,0,,Very helpful,0,,No opinion,4,,Okay,2,,Somewhat too much,1,,3-6 hours,1,,,,,,,
2016-03-22T00:47:03,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Often enough,2,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,Very Helpful,0,,Okay,2,,Okay,2,,11-15 hours,3,,,,,,,
2016-03-22T08:41:57,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,I did not seek help,5,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,Helpful,1,,No opinion,4,,Somewhat too little,3,,Okay,2,,3-6 hours,1,,I know Dave has probably received a million positive reviews in his time here so I will keep this brief. I thoroughly enjoyed having him as my professor.,,,"Honestly I felt that the pace was a bit too slow and the breadth could have been a bit wider. Also, I think assignments could have focused more on having fewer questions with more problem solving, Rather than more questions which had a lot of plug and chug",,
2016-03-22T10:15:35,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,I did not seek help,5,,No opinion,3,,Excellent,0,,90-100%,0,,Very helpful,0,,Helpful,1,,No text required,3,,Somewhat too much,1,,Somewhat too much,1,,3-6 hours,1,,Engaging. Made content easy to understand.,,"Assignments were very helpful in learning content, despite their general difficulty and length.",I wish there were more resources to help in preparing for midterms and finals. Marmoset sucks. Less rigid marking schemes for assignments would be nice.,,I liked that Dave spoke on a platform that raised him higher up. Made seeing him easier when sitting in the back.
2016-03-22T10:16:48,Excellent,0,,Somewhat too high,1,,Excellent,0,,Excellent,0,,Excellent,0,,I did not seek help,5,,Interesting,1,,Excellent,0,,90-100%,0,,Helpful,1,,Helpful,1,,No text required,3,,Okay,2,,Okay,2,,7-10 hours,2,,Dave is a fun instructor.  It feels more like a buddy that just knows more than us trying to help us all out instead of a stoic instructor feeding us course material.,don't get sick or food poisoning.,I learned a lot about memory use and run time which was nice to learn and know.,"I did not particularly enjoy or find use in the profound amounts of time analyzing stack frames.  Sea shell is pretty bad, and marmoset is also bad.","positively.  Dave is high energy and nice, which brightens everyone's day.",The room could have been better.
